id,baseMean,baseMean1_M0,baseMean2_M2,FC_2over1,log2FC_2over1,pval,padj,X8533M0_S1,X8534M0_S4,X8535M0_S7,X8536M0_S10,X8533M2_S3,X8534M2_S6,X8535M2_S9,X8536M2_S12
Sft2d2,5980.917829,3194.973503,8766.862154,2.743954573,1.456256597,7.20E-66,4.00E-63,3232.596472,2956.846695,3248.448551,3342.002295,9409.450037,8416.386136,8200.403622,9041.208822
Il1rap,2701.83733,1403.637043,4000.037616,2.849766352,1.51084364,7.07E-65,3.80E-62,1332.247128,1496.273629,1454.274839,1331.752576,4138.428868,4182.520831,4011.540583,3667.660182
Calcrl,1342.00757,2110.384235,573.6309047,0.27181349,-1.879311035,2.83E-64,1.48E-61,2284.00279,1835.428985,2208.869271,2113.235892,579.2647649,584.3001112,532.9806382,597.9781043
1700025G04Rik,413.6420898,162.09219,665.1919896,4.103788033,2.036956215,1.67E-63,8.49E-61,158.0989471,184.8029184,174.2100068,131.2568877,701.2658017,631.5370271,618.0954169,709.8697127
Prkcd,43550.25802,24120.22788,62980.28815,2.611098389,1.384656821,2.48E-63,1.22E-60,24257.64845,22697.15843,24389.40095,25136.70367,65681.70775,61839.28418,64150.19811,60249.96258
Myo1e,15369.66843,8493.418863,22245.91799,2.619194738,1.389123328,1.67E-62,8.02E-60,8077.802205,8370.732191,9163.067641,8362.073416,22285.84292,21431.18334,23183.64449,22083.00122
Pid1,10514.58688,17341.37069,3687.803062,0.21265926,-2.233384417,2.92E-62,1.37E-59,18159.24507,18839.39751,17562.07291,14804.76727,3989.529965,4246.187979,3645.749689,2869.744614
Nfkb1,16181.90565,8988.582026,23375.22928,2.600546917,1.378815066,8.88E-62,4.04E-59,8972.642246,9344.097563,8883.763554,8753.824743,22309.85887,24088.7733,25073.39523,22028.8897
Rab3il1,847.7314673,404.1893404,1291.273594,3.194724514,1.675691531,8.10E-61,3.59E-58,467.9728835,415.8065664,350.3136006,382.6643111,1291.097586,1434.564596,1245.310274,1194.12192
Mcf2l,1885.651264,984.3109221,2786.991605,2.831413878,1.501522649,1.16E-60,5.04E-58,919.0818793,1084.667129,958.1550374,975.3396426,2702.274932,2992.35593,2842.225647,2611.109912
Epha4,1603.400597,2582.873931,623.9272626,0.241563189,-2.049527473,3.46E-60,1.46E-57,2671.872206,2754.193494,2684.159616,2221.270408,703.1870778,729.0915272,526.9010112,536.529434
Fndc7,223.4028308,68.96444245,377.8412191,5.478783061,2.45385548,4.41E-60,1.82E-57,67.45555078,80.85127681,71.00951364,56.54142856,407.3105478,412.8095689,335.392759,355.8520007
Lrrc8b,1149.506732,575.6896248,1723.323839,2.993494698,1.581830715,6.52E-60,2.63E-57,591.2900623,568.0589708,616.3625784,527.0468876,1817.527256,1677.937402,1641.499304,1756.331395
Ceacam19,275.0256824,98.23886323,451.8125016,4.599121842,2.201358419,2.03E-57,8.00E-55,110.669263,90.30142605,88.99859043,102.9861734,482.2403184,488.7993901,432.6667919,403.5435059
Wdfy2,2779.926624,1529.602044,4030.251204,2.63483644,1.397713408,6.40E-57,2.47E-54,1553.585654,1603.375321,1412.615925,1548.831275,4429.502208,3959.685815,3773.421857,3958.394936
Mapkapk3,3963.497225,2208.285095,5718.709355,2.589660804,1.372763145,7.59E-57,2.87E-54,2081.636137,2333.136845,2325.324873,2093.042525,5788.805097,5917.964044,5539.553515,5628.514764
