id,baseMean,baseMean1_M0,baseMean2_M1,FC_2over1,log2FC_2over1,pval,padj,X8533M0_S1,X8534M0_S4,X8535M0_S7,X8536M0_S10,X8533M1_S2,X8534M1_S5,X8535M1_S8,X8536M1_S11
Socs3,15394.63299,1695.320415,29093.94557,17.16132556,4.101089088,0,0.00E+00,1683.832618,1801.359156,2014.14619,1281.943695,29287.22039,30973.11901,28898.44519,27216.99769
Parp14,40932.01788,4713.432713,77150.60304,16.3682411,4.032827396,0,0.00E+00,5151.74539,4504.197073,4816.784425,4381.003963,79651.40841,80180.77225,74916.81134,73853.42016
Cd300lb,4125.099065,8148.077753,102.1203779,0.012533064,-6.318117061,0,0.00E+00,8657.964133,7133.510126,8181.696045,8619.140707,58.45487399,98.02828573,97.70847673,154.289875
Batf2,1600.516927,93.6645725,3107.369282,33.17550275,5.052046424,0.00E+00,9.64E-307,118.9930117,79.9183299,105.4717218,70.27522663,2974.555974,3252.756754,2848.667375,3353.497026
Nfkbiz,14491.79246,1707.454604,27276.13031,15.97473236,3.997719855,1.17E-307,6.13E-305,1615.370885,2014.741097,1736.282758,1463.423675,27991.91352,27188.2087,26615.09114,27309.30787
Herc6,6757.228717,595.5895687,12918.86787,21.69089008,4.43901735,6.35E-296,3.22E-293,621.0457186,552.2356596,643.0138072,566.0630892,14341.37193,12408.85326,12593.92473,12331.32155
Xaf1,1735.539035,155.9148306,3315.163239,21.26265492,4.410249842,1.02E-292,5.04E-290,170.3393113,168.6276761,179.6656226,105.0267123,3242.916987,3257.849132,3618.703228,3141.183609
Nod2,1745.064279,163.8857757,3326.242782,20.29610421,4.343130927,1.37E-286,6.58E-284,164.6341669,189.4064419,182.5751874,118.9273066,3184.462113,3380.066216,3537.279497,3203.163302
Irg1,267504.4212,28192.87953,506815.9628,17.97673637,4.168059222,4.33E-279,2.02E-276,28445.03494,29523.42943,28134.76363,26668.29012,555395.7,509888.3993,465564.6069,496415.145
Slfn5,16153.55111,2296.634018,30010.46821,13.06715305,3.707872949,2.99E-272,1.36E-269,2199.740675,2376.771131,2497.133937,2112.89033,32009.35759,31450.52949,28575.07666,28006.9091
Mnda,2896.497212,170.1396361,5622.854788,33.04847076,5.046511611,6.64E-271,2.95E-268,196.4199714,179.8162423,186.9395345,117.3827961,5864.086677,6160.504865,5206.465974,5260.361635
Procr,71012.97579,10513.85889,131512.0927,12.50845137,3.64483128,2.43E-270,1.05E-267,10305.12082,10495.67427,10857.76821,10396.87226,136064.3474,132917.4438,131131.755,125934.8246
Mx2,1693.165372,21.04253831,3365.288206,159.927864,7.321277509,7.83E-266,3.31E-263,36.67592827,19.18039917,16.72999725,11.58382856,3596.30327,3691.974397,3225.542928,2947.332227
Ccnd2,2088.536178,55.6597309,4121.412625,74.04657835,6.210361166,5.18E-264,2.14E-261,29.34074261,89.50852948,45.09825345,58.69139806,4098.483779,3579.942071,4363.148765,4444.075886
Ifi47,16690.63604,453.455567,32927.8165,72.61530986,6.182201846,1.31E-263,5.29E-261,604.7453061,344.4480018,555.7268651,308.9020951,37563.89914,31836.27716,32229.83897,30081.25075
Gnb4,3515.663652,471.7797087,6559.547595,13.90383578,3.797411043,4.05E-259,1.60E-256,443.3712217,404.3867493,464.802967,574.5578968,7099.61015,6087.938472,6455.738641,6594.903118
Bcl2a1d,13165.34665,1898.104718,24432.58858,12.87209728,3.686175229,2.66E-256,1.03E-253,1794.675423,1951.605616,1923.222292,1922.915542,26574.38283,24960.29312,23604.7395,22590.93888
Rab11fip1,18965.17741,3016.834788,34913.52003,11.57289758,3.532678222,9.74E-253,3.68E-250,2691.198114,3505.217949,2951.026036,2919.897054,32607.19153,36290.83523,34686.50924,36069.54411
Peli1,5995.052678,917.0490458,11073.05631,12.07466096,3.593910776,2.53E-248,9.38E-246,882.6673403,907.8722276,921.604631,956.0519842,11613.92065,11129.39317,11018.95714,10529.95429
Irgm2,4314.455504,467.0650308,8161.845976,17.47475284,4.127200146,2.46E-246,8.90E-244,534.6535321,420.3704152,556.4542563,356.7819198,9093.718465,7902.098305,7803.882981,7847.684154
Mtmr7,2192.003571,289.1872526,4094.81989,14.15975239,3.823724132,3.29E-246,1.17E-243,265.6967248,266.9272218,360.7860276,263.339036,4236.649844,3885.48478,4423.634964,3833.509971
Cxcr4,1679.057685,3305.753172,52.36219784,0.015839718,-5.980309544,4.82E-244,1.68E-241,3608.096321,3140.790365,3513.299422,2960.826581,19.92779795,87.84352877,58.15980758,43.51765705
Sp110,2357.039149,327.464586,4386.613713,13.39568888,3.743696869,1.18E-240,4.04E-238,359.424097,287.7059876,348.4203775,314.3078817,4752.115551,4460.923548,4129.346338,4204.069414
Fam26f,11067.24021,26.73141553,22107.749,827.0324844,9.691800187,7.85E-239,2.63E-236,22.82057759,37.56161505,34.18738568,12.3560838,23514.80158,25361.31792,18513.42995,21041.44654
5430435G22Rik,1959.758689,3667.802541,251.7148376,0.068628241,-3.865053807,6.27E-238,2.06E-235,3507.848783,3515.607332,3842.080237,3805.673811,127.5379069,288.9924787,210.5385034,379.7904615
Zfp800,10350.8398,1796.392287,18905.28732,10.52403055,3.395615437,7.81E-232,2.52E-229,1766.964722,1850.109337,1754.467537,1814.027553,20275.87015,18910.54748,17744.55729,18690.17434
Epha4,11267.87993,1980.862654,20554.8972,10.37674023,3.375281399,9.80E-231,3.11E-228,2066.077292,2096.257793,2062.154009,1698.961523,21871.42251,20869.8401,20624.63096,18853.69524
Ereg,13692.54577,85.42785586,27299.66369,319.5639574,8.31996089,1.02E-230,3.17E-228,39.93601078,107.0905621,98.92520111,95.75964947,22879.76909,26365.78958,30711.86799,29241.2281
Ccl4,18277.7676,96.89981191,36458.63538,376.2508375,8.555550983,8.26E-230,2.53E-227,66.83169151,140.6562606,109.8360689,70.27522663,34291.75471,41910.27488,38493.65024,31138.86169
Tnfaip3,44063.25676,8084.939008,80041.57452,9.900083902,3.307440752,2.37E-228,7.15E-226,6697.024501,8504.109484,8464.651216,8673.970829,81118.09434,81509.88303,80835.15336,76703.16734
Slc43a2,6933.181821,12784.88047,1081.483174,0.084590793,-3.563355548,1.39E-226,4.11E-224,12777.07839,13382.32434,11481.86985,13498.2493,908.7075866,1253.998201,992.2063173,1171.02059
Irf7,3767.182849,337.5700813,7196.795617,21.31941192,4.414095738,1.11E-225,3.24E-223,368.3893239,342.8496353,381.8803719,257.1609941,7066.397153,7208.261737,7988.831169,6523.692406
Dpysl3,710.2497219,64.50190975,1355.997534,21.02259513,4.393868869,5.29E-224,1.51E-221,48.08621706,67.13139711,76.37607439,66.41395044,1283.350188,1278.186998,1483.075093,1379.377857
Gbp6,9771.208279,546.3488565,18996.0677,34.76911771,5.119734553,1.02E-223,2.87E-221,752.2640398,485.9034458,631.3755483,315.8523922,21454.26727,18675.02498,18648.3607,17206.61785
Rasa3,3417.538657,6270.835682,564.241631,0.089978698,-3.474272696,1.06E-221,2.93E-219,6615.522438,6023.444524,6318.847221,6125.528545,595.1768988,533.4266457,457.1360876,671.226892
9030625A04Rik,8266.368227,1509.809133,15022.92732,9.950216215,3.314727875,1.65E-221,4.50E-219,1586.030142,1596.768231,1529.703661,1326.734498,14874.10839,15721.44546,15689.18969,13806.96574
Gbp2,86483.55805,5099.425614,167867.6905,32.91894092,5.040846016,1.53E-218,4.11E-216,6191.711712,4721.57493,5090.28351,4394.132302,187552.4632,162323.3833,149924.352,171670.5635
Zfp558,2121.671225,149.4091953,4093.933255,27.4008119,4.776146736,1.06E-217,2.82E-215,111.6578261,160.6358431,171.6643196,153.6787923,4312.375477,4309.425288,4202.627696,3551.304558
Hmha1,3723.315017,6801.923335,644.7066997,0.094783,-3.399227864,2.28E-215,5.95E-213,6740.220595,6502.15532,7327.011403,6638.306023,564.6209419,672.1939593,644.410668,697.6012296
Parp9,7553.493407,1419.515965,13687.47085,9.642350763,3.269384912,1.53E-214,3.94E-212,1568.099689,1241.131663,1579.166262,1289.666247,14937.87734,13205.81049,13632.6589,12973.53667
6430548M08Rik,1415.583809,2639.310732,191.8568861,0.072692042,-3.782058761,5.15E-214,1.31E-211,2595.02568,2487.85761,2732.08129,2742.278349,178.0216617,234.24941,134.9307536,220.225719
Cd69,391.5100928,18.64101651,764.3791691,41.00522997,5.357736024,6.13E-214,1.53E-211,22.00555696,23.97549897,12.36565014,16.21735999,814.3826763,724.3908387,811.9109138,706.8322478
Eepd1,990.1707422,1869.028331,111.313153,0.059556696,-4.069592458,4.08E-212,1.01E-209,1793.045382,1848.51097,1985.777934,1848.779039,115.5812281,103.1206642,110.5036344,116.0470855
Arhgef10l,1493.344372,2822.074725,164.6140201,0.058330851,-4.09959707,1.53E-211,3.72E-209,2992.755746,2490.25516,2900.836044,2904.451949,171.3790624,141.3135028,155.8682843,189.8952308
Lpin1,476.3322087,930.9882891,21.67612819,0.023282923,-5.424584031,2.03E-210,4.88E-208,951.129073,914.265694,955.7920166,902.7663728,21.25631781,24.18879778,26.75351149,14.50588568
Cflar,37910.85689,7727.470989,68094.24279,8.811970033,3.139464589,2.57E-208,6.09E-206,7437.878252,8492.121735,8331.538629,6648.345341,71682.94627,69695.56496,65256.4673,65741.99263
D16Ertd472e,2361.252618,406.1319569,4316.37328,10.628007,3.409799178,1.08E-207,2.52E-205,413.2154585,436.3540812,381.8803719,393.077916,4247.278003,3996.244012,4275.909053,4746.062052
Wars,8901.144674,1583.855587,16218.43376,10.23984377,3.356121799,8.44E-207,1.95E-204,1680.572535,1587.977215,1611.171474,1455.701123,16946.59938,15711.2607,14787.71268,17428.16229
Dhrs3,840.9321313,1595.002348,86.86191448,0.0544588,-4.198690987,1.26E-203,2.86E-201,1625.151132,1679.084111,1667.180595,1408.593553,62.44043358,100.574475,100.034869,84.39788033
Trim30a,16161.67948,2069.852715,30253.50625,14.61626039,3.869502336,1.28E-203,2.87E-201,2326.883893,2040.314962,1953.772722,1958.439283,33817.47312,28071.73637,29667.31785,29457.49767
Fam46a,11919.94868,2444.956217,21394.94114,8.750643873,3.129389174,1.39E-203,3.07E-201,2608.881031,2374.373581,2527.684367,2268.885888,21831.56691,21675.709,22733.50559,19338.98305
Isg15,6327.794609,70.49542083,12585.0938,178.5235644,7.479970706,2.37E-201,5.20E-199,79.05700093,83.91424639,48.73520937,70.27522663,11049.2997,11702.28575,12931.25162,14657.53812
Bcl2a1b,27020.88886,5511.491525,48530.2862,8.805290905,3.138370668,2.50E-200,5.41E-198,5215.316999,5788.484634,5702.019497,5340.144968,52742.23858,49929.49789,46482.48141,44966.9269
Sipa1l1,3331.205143,646.5474113,6015.862875,9.304596646,3.217943611,2.15E-197,4.59E-195,719.6632146,644.141739,640.1042425,582.2804492,5922.541551,5554.511826,6387.110068,6199.288054
Ypel2,720.0934619,1367.172041,73.01488301,0.053405775,-4.226860422,1.08E-196,2.28E-194,1397.760377,1372.996908,1395.136292,1302.794586,67.75451303,80.20496105,86.07651522,58.02354273
Il17ra,7886.693028,1619.706902,14153.67915,8.738419981,3.127372445,8.58E-195,1.79E-192,1626.781174,1684.678394,1684.637984,1482.730056,14905.99287,15170.19549,13231.35622,13307.17204
Ttc39c,3940.821333,791.2302044,7090.412462,8.961251002,3.163700148,1.48E-194,3.05E-192,845.991412,810.3718651,795.765956,712.7915844,7656.259973,6830.152635,7143.187567,6732.049674
Nfam1,4855.373074,8717.399098,993.3470499,0.113949934,-3.133528009,4.48E-194,9.15E-192,8980.712301,8598.413113,8506.839905,8783.631073,981.776179,1036.299021,821.216483,1134.096517
Ifih1,35634.86195,1814.680816,69455.04309,38.2739722,5.258291731,6.40E-191,1.29E-188,1966.644776,1665.497995,1851.937956,1774.642536,79311.30732,70160.2445,65477.47457,62871.14598
Nfkb2,20805.04116,4670.617586,36939.46474,7.908903706,2.983477729,5.95E-190,1.19E-187,4629.317168,5062.027016,4561.470119,4429.656043,35565.80526,37019.04536,38420.36889,36752.63945
BC031353,471.7527255,911.9091652,31.5962859,0.034648501,-4.851063239,2.42E-189,4.78E-187,847.6214533,921.4583437,969.6124492,908.9444147,38.52707604,33.10046012,24.42711918,30.33048825
Gadd45b,5793.558495,1242.004804,10345.11219,8.329365679,3.058206632,1.17E-188,2.28E-186,1064.41694,1388.980574,1262.023705,1252.597995,10347.84122,10483.93419,10155.8656,10392.80773
F630110N24Rik,1163.25507,2151.085574,175.4245652,0.081551644,-3.616142228,1.59E-188,3.07E-186,1914.483455,2275.274852,2185.083119,2229.500871,144.8086651,197.3296661,190.7641689,168.7957607
Ube2l6,1969.548478,370.2228871,3568.874069,9.639798601,3.269003005,1.12E-187,2.15E-185,338.2335607,370.8210507,457.5290552,314.3078817,3668.043343,3520.106624,3526.810732,3560.535577
Dtx3l,6343.005592,1381.20258,11304.8086,8.184757809,3.032939727,4.14E-187,7.83E-185,1548.539193,1225.147997,1509.336708,1241.786422,11981.92065,10774.19977,11430.72858,11032.38542
Clic4,58657.35815,13585.25497,103729.4613,7.635444575,2.932712161,4.83E-186,9.04E-184,12830.86975,12070.06536,14195.76636,15244.31839,99951.19192,104386.1203,108298.2145,102282.3187
Fgd4,1517.759484,2774.340152,261.1788156,0.094140877,-3.409034894,1.25E-185,2.32E-183,2995.200808,2625.317137,2829.551708,2647.290955,290.9458501,250.7996401,252.4135649,250.5562072
Nfkb1,29724.84224,6892.691795,52556.99268,7.62503159,2.930743315,2.52E-185,4.62E-183,6938.270607,7111.932177,6825.111486,6695.45291,49788.93892,53928.2881,56166.08938,50344.65434
C5ar1,7065.842598,1566.544473,12565.14072,8.020928192,3.003769197,2.87E-185,5.20E-183,1639.006483,1697.465327,1581.348435,1348.357645,12651.49466,13609.38149,12040.24337,11959.44339
Src,9627.794599,2175.257632,17080.33157,7.852095916,2.973077796,2.95E-184,5.29E-182,2066.077292,2072.282294,2238.182675,2324.488265,17237.54523,16821.39921,17136.20571,17126.17612
