Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.239143292599876	-2.28861440909611e-09	-0.00833060254760429	0.000180536100690354	-0.00776375251945832	0.228089665081956	-0.00516265157337117	-0.00516179517664853	0.00511678112253153	0.00409919703570721	-0.189140844847205	-0.0372717460618564	-0.0281536501136988	-0.00609297197398109	-0.00609297197421318	-0.000350669071758236	-0.000350669071758597	-6.9427472603717e-05	0.180099762238051	-0.0299004038155976	-0.189143292599876	2.13440376484186e-13	2.13440376484186e-13	2.13440376484186e-13	2.13440376484186e-13	2.13440376484186e-13	2.53864022461969e-06	2.1360690993788e-13	2.13523643211033e-13	3.08017557134332e-05	3.080175571335e-05	2.13246087454877e-13	2.13135065152414e-13	3.08017557133222e-05	3.08017557134332e-05	0.0167831122650715	0.00124469503465247	2.13190576303646e-13	2.13190576303646e-13	-0.00733819266393215	-0.00733819266393165	1.72904381736949e-05	2.13412620908571e-13	2.1316282072803e-13	2.13384865332955e-13	2.13384865332955e-13	2.13384865332955e-13	2.13468132059802e-13	-2.28861465889629e-09	6.36895887028144e-05	-0.00507206468019855	-0.00507206467567381	6.36895887029254e-05	0.0163104272947519	2.13579154362264e-13	2.13495887635418e-13	2.13495887635418e-13	2.13495887635418e-13	-1.12470130569919e-07	-1.12470130680942e-07	-1.12470130847475e-07	-1.1247013037563e-07	-1.12470130958497e-07	2.13135065152414e-13	-0.00635966442247354	0.000326108347574128	-0.00833060254749995	0.000326108347574267	0.0578066215275514	0.00082199238564884	2.13273843030493e-13	2.13273843030493e-13	2.13273843030493e-13	0.000126523176955412	0.000126523176955717	4.66185540587416e-07	0.129834060684466	0.129834060524507	2.13523643211033e-13	0.000180536100690409	0.000180536100690437	-1.15868878323155e-05	-1.15868878322878e-05	2.13468132059802e-13	-0.189140844847205	-0.189140844847205	-2.65898195128678e-09	-2.65898150719757e-09	-2.65898178475332e-09	-2.56156207356639e-13	-2.65898161821987e-09	-0.0077637525194526	-0.0282328447371794	-0.00271766207344554	-4.88015741425818e-05	-0.189140866043835	-0.188965677963052	-0.188965677935925	0.265998718741312	0.265998718741311	2.13468132059802e-13	2.13551398786649e-13	2.13551398786649e-13	-0.00516265209749292	-0.00516265172618552	-0.00516265172619115	0.228089665081956	0.207959564548525	0.207959564548525	2.13551398786649e-13	2.13551398786649e-13	0.173316979699519	0.173316979699519	0.00941923027014452	2.13246087454877e-13	2.13440376484186e-13	2.13551398786649e-13	2.13551398786649e-13	2.13551398786649e-13	2.13551398786649e-13	0.104736836010176	0.104736836010177	2.13412620908571e-13	2.13551398786649e-13	2.13412620908571e-13	2.13551398786649e-13	0.00511678112250272	0.000482159835069329	-0.189143292599876	2.13329354181724e-13	-0.00635966442254382	-0.00516265172620403	2.13523643211033e-13	0.00409919703571543	-0.0372717460724197	2.53864022473071e-06	0.00941923027016994
IL1	-4.3290114548622e-11	-0.0500000000432901	-2.31708402465003e-11	7.24344195734972e-13	-2.30122032540692e-11	5.57203872090725e-05	-1.71358482958794e-11	-1.71336486665119e-11	2.61072552465436e-11	2.00014865781029e-11	-4.3290114548622e-11	-4.2779731146414e-11	-4.3290114548622e-11	-4.32901631208793e-11	-4.3290114548622e-11	-1.47128836891497e-12	-1.47128836891497e-12	-3.18321757841744e-13	4.01411149534431e-06	-4.14559359063205e-11	-4.3290114548622e-11	0	0	0	0	0	1.0623446566882e-14	0	0	1.24920906952042e-13	1.24920906952042e-13	0	0	1.24920906952042e-13	1.24920906952042e-13	1.50466923642956e-10	-2.68843280970543e-12	0	0	-2.40447384225462e-11	-2.40447384225462e-11	7.06379399417756e-14	0	0	0	0	0	0	-1.38777878078145e-17	-1.93060845088411e-13	-1.87701243437033e-11	-1.87701243437033e-11	-1.93060845088411e-13	-4.3290114548622e-11	0	0	0	0	-4.3290114548622e-11	-4.3290114548622e-11	-4.3290114548622e-11	-4.32901214875159e-11	-4.3290114548622e-11	-4.3290114548622e-11	-1.90779475550684e-11	1.46638950981881e-12	-2.31708402465003e-11	1.46638950981881e-12	3.17989783810146e-09	3.88405280160597e-12	0	0	0	2.46801190595392e-12	2.46801190595392e-12	1.94982918699793e-15	1.96234101586257e-07	1.96234011047569e-07	0	7.24344195734972e-13	7.24344195734972e-13	-4.92036966726062e-14	-4.92036966726062e-14	0	-4.3290114548622e-11	-4.3290114548622e-11	-1.38777878078145e-17	-1.38777878078145e-17	-1.38777878078145e-17	0	-1.38777878078145e-17	-2.30122032540692e-11	-4.05147929094518e-11	-1.09430658978837e-11	-2.56183962932255e-13	-4.3290114548622e-11	-4.3290114548622e-11	-4.3290114548622e-11	0.00061676653765351	0.00061676653765351	0	0	0	-1.71358482958794e-11	-1.71358482958794e-11	-1.71358482958794e-11	5.57203872090725e-05	2.89948272672313e-05	2.89948272672313e-05	0	0	2.10860942662719e-05	2.10860942662719e-05	6.81574310879007e-11	0	0	0	0	0	0	3.1825767484589e-07	3.1825767484589e-07	0	0	0	0	2.61072552465436e-11	2.24012475236179e-12	-4.3290114548622e-11	-4.3290114548622e-11	-1.90779475550684e-11	-1.71358482958794e-11	0	2.00014865781029e-11	-4.27797450242018e-11	1.0623446566882e-14	6.81574310879007e-11
IL6	-0.00168162694329688	-5.05842034925763e-10	-0.104151028323917	9.99937398089845e-06	-0.000750950244391035	0.0299442551337913	-0.00053947210051862	-0.000539390883853685	0.000352501541584671	0.000288387978059343	-0.0541508417140523	-0.0081211794120804	-0.00168162694329684	-0.00133274947732416	-0.00133274947734649	-2.3317065063061e-05	-2.33170650631026e-05	-1.52993588564271e-05	0.00979318447688626	-0.000730354397654079	-0.00166463914832543	2.11081152556858e-14	2.11081152556858e-14	2.11081152556858e-14	2.11081152556858e-14	2.11081152556858e-14	7.37269099937432e-08	2.11497486191092e-14	2.1094237467878e-14	5.25303204940153e-06	5.25303204934602e-06	2.10803596800702e-14	2.10664818922623e-14	5.25303204933214e-06	5.25303204937377e-06	0.00302168613560644	9.18491761855433e-05	2.10248485288389e-14	2.10248485288389e-14	-0.00165960760740347	-0.00165960760740341	1.3013761386016e-06	2.10803596800702e-14	2.10664818922623e-14	2.11358708313014e-14	2.11358708313014e-14	2.11358708313014e-14	2.11219930434936e-14	-5.05842090436914e-10	1.08548929461938e-05	-0.00115360496552146	-0.00115360496459989	1.08548929461938e-05	0.0029269772417545	2.11081152556858e-14	2.11497486191092e-14	2.11497486191092e-14	2.11497486191092e-14	-1.46046926774446e-06	-1.46046926775834e-06	-1.46046926775834e-06	-1.46046926739751e-06	-1.46046926778609e-06	2.10387263166467e-14	-0.0541510283239166	5.19554004604905e-05	-0.000262999960685989	5.19554004605044e-05	0.00127186458010785	0.000147742710742818	2.10526041044545e-14	2.10526041044545e-14	2.10526041044545e-14	1.97371903940119e-05	1.97371903940674e-05	1.35387694805145e-08	0.0106913474347775	0.0106913474083544	2.11219930434936e-14	9.99937398089845e-06	9.99937398091233e-06	-6.9412528960755e-07	-6.94125289621428e-07	2.11358708313014e-14	-0.0541508417140523	-0.0541508417140523	-5.87698639753498e-10	-5.8769850097562e-10	-5.87698598120134e-10	-8.08381139805192e-14	-5.87698556486771e-10	-0.000750950244390619	-0.000976770049789188	-0.00060546483286622	-1.5356033661873e-05	-0.0541510283239166	-0.00279321290917156	-0.00279321290876616	0.134155878418362	0.134155878418361	2.11219930434936e-14	2.11358708313014e-14	2.11358708313014e-14	-0.000539472163976734	-0.000539472119895662	-0.00053947211989612	0.0299442551337911	0.0262965806163414	0.0262965806163414	2.11219930434936e-14	2.11219930434936e-14	0.0098110765492346	0.00981107654923459	0.00141359442771566	2.1094237467878e-14	2.1094237467878e-14	2.11219930434936e-14	2.11219930434936e-14	2.11219930434936e-14	2.11219930434936e-14	0.0115577248918291	0.0115577248918291	2.11081152556858e-14	2.11219930434936e-14	2.11081152556858e-14	2.11219930434936e-14	0.000352501541582353	8.66439882829806e-05	-0.00166463914832544	2.11081152556858e-14	-0.0541510283239166	-0.000539472119897341	2.11081152556858e-14	0.000288387978059731	-0.00812117941422395	7.37269099937432e-08	0.00141359442771774
LPS	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	-0.0108154307189371	-9.68049834737528e-10	-0.00345316708819986	7.9896433579113e-05	-0.0824431829437886	0.0995809014581744	-0.0324431828905284	-0.0324355646885635	0.00222904846319129	0.00178035633421943	-0.032435424610707	-0.013732462007385	-0.010815430718937	-0.00249963740376595	-0.00249963740387373	-0.000148921470372071	-0.000148921470372224	-2.93929207037802e-05	0.10551620606683	-0.0113903732424027	-0.010551600154627	1.31436528327811e-13	1.31436528327811e-13	1.31436528327811e-13	1.31436528327811e-13	1.31436528327811e-13	1.08048136718275e-06	1.31478161691234e-13	1.3150591726685e-13	1.41418721674308e-05	1.41418721674308e-05	1.31381017176579e-13	1.31297750449733e-13	1.41418721673614e-05	1.41418721674308e-05	0.00795687837861152	0.000535852651787586	1.3131162823754e-13	1.3131162823754e-13	-0.00299598530317501	-0.00299598530317467	7.41510602311757e-06	1.31381017176579e-13	1.31381017176579e-13	1.31436528327811e-13	1.31436528327811e-13	1.31436528327811e-13	1.31422650540003e-13	-9.68049931882042e-10	2.92441705359581e-05	-0.00208395758756875	-0.00208395758532849	2.92441705359581e-05	0.00772982491939295	1.31478161691234e-13	1.31492039479042e-13	1.31492039479042e-13	1.31492039479042e-13	-4.75893914830827e-08	-4.75893914830827e-08	-4.75893916079828e-08	-4.75893914136938e-08	-4.75893916357384e-08	1.31297750449733e-13	-0.00265380717715238	0.000145400779990645	-0.00345316708814045	0.00014540077999077	0.0293950614807135	0.000363637548392609	1.31381017176579e-13	1.31381017176579e-13	1.31381017176579e-13	0.00037761534272647	0.000377615342726539	1.98413815238885e-07	0.0753962570887907	0.0753962570454217	1.31519795054658e-13	7.98964335790714e-05	7.98964335790991e-05	-2.0973423610765e-06	-2.0973423610765e-06	1.31450406115619e-13	-0.032435424610707	-0.032435424610707	-1.12471659763358e-09	-1.12471641722234e-09	-1.12471652824464e-09	-6.51562137576889e-14	-1.1247164588557e-09	-0.00321680207811821	-0.0108743771892144	-0.00113694792632457	-2.01443190535194e-05	-0.0324354249464464	-0.0324343014613386	-0.032434301458006	0.177756484469331	0.177756484469331	1.31422650540003e-13	1.31450406115619e-13	1.31450406115619e-13	-0.0324431829918134	-0.0324431829437886	-0.0324431829437886	0.0995809014581742	0.0822983274713366	0.0822983274713365	1.31492039479042e-13	1.31492039479042e-13	0.101278565046949	0.101278565046949	0.0040943558728605	1.31394894964387e-13	1.31422650540003e-13	1.31492039479042e-13	1.31492039479042e-13	1.31492039479042e-13	1.31492039479042e-13	0.0563256782627336	0.0563256782627338	1.31450406115619e-13	1.31492039479042e-13	1.31450406115619e-13	1.31492039479042e-13	0.00222904846317509	0.000213052836325264	-0.010551600154627	1.31422650540003e-13	-0.00265380717719181	-0.0324431829437886	1.31492039479042e-13	0.00178035633422502	-0.0137324620223689	1.08048136723826e-06	0.00409435587287853
IL4	-0	-0	-0	-0	-0	-0.7	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-0.0260414567600253	-2.09225620162456e-09	-0.00764021468156512	0.000171102407407253	-0.00711873797467144	0.200822374579848	-0.273273733064248	-0.223273733064248	0.00466890156370631	0.00374176291593781	-0.223207366933659	-0.0346268606306418	-0.0260414567600251	-0.00558308973756805	-0.00558308973777089	-0.000320617631307696	-0.000320617631307973	-6.34710309754261e-05	0.158910628005414	-0.0276797209364408	-0.0253238173829097	1.50213175231784e-13	1.50213175231784e-13	1.50213175231784e-13	1.50213175231784e-13	1.50213175231784e-13	2.32077830802924e-06	1.50379708685477e-13	1.50379708685477e-13	2.81581028209188e-05	2.81581028209188e-05	1.5004664177809e-13	1.49935619475627e-13	2.81581028207523e-05	2.81581028209188e-05	0.015252654306584	0.00113735150911398	1.5004664177809e-13	1.5004664177809e-13	-0.00672740030588076	-0.00672740030588026	1.58065143741615e-05	1.50213175231784e-13	1.50102152929321e-13	1.50268686383015e-13	1.50268686383015e-13	1.50268686383015e-13	1.50213175231784e-13	-2.09225642366917e-09	5.82225234480038e-05	-0.0046457655622274	-0.00464576555852758	5.82225234480038e-05	0.0148253866179892	1.50379708685477e-13	1.50324197534246e-13	1.50324197534246e-13	1.50324197534246e-13	-1.02818278224781e-07	-1.02818278280292e-07	-1.02818278502337e-07	-1.02818278058248e-07	-1.02818278557848e-07	1.49991130626859e-13	-0.00582807350771497	0.000298086252395968	-0.00764021468148995	0.000298086252396024	0.051928567581842	0.000751220881830772	1.50157664080552e-13	1.50157664080552e-13	1.50157664080552e-13	0.000115659809602542	0.000115659809602819	4.26178560108958e-07	0.115121771506197	0.115121771344691	1.50379708685477e-13	0.000171102407407198	0.000171102407407198	-4.51775466309146e-06	-4.51775466309146e-06	1.50324197534246e-13	-0.223207366933659	-0.223207366933659	-2.43083969619917e-09	-2.43083930762111e-09	-2.43083958517687e-09	-2.79110068390764e-13	-2.43083936313226e-09	-0.00711873797466767	-0.0261156690000105	-0.00248699108821432	-4.4614361009998e-05	-0.223207787618754	-0.221827309709192	-0.221827309697127	0.234152564953659	0.234152564953659	1.50213175231784e-13	1.50324197534246e-13	1.50324197534246e-13	-0.00472890566984163	-0.004728905389566	-0.00472890538956938	0.200822374579848	0.183213727426943	0.183213727426943	1.50379708685477e-13	1.50324197534246e-13	0.153001179269834	0.153001179269834	0.00858167110057789	1.50102152929321e-13	1.50213175231784e-13	1.50379708685477e-13	1.50324197534246e-13	1.50379708685477e-13	1.50324197534246e-13	0.0932072463740039	0.0932072463740041	1.50324197534246e-13	1.50324197534246e-13	1.50324197534246e-13	1.50324197534246e-13	0.00466890156368494	0.00044070278850078	-0.0253238173829096	1.50157664080552e-13	-0.00582807350776959	-0.00472890538957771	1.50379708685477e-13	0.00374176291594902	-0.0346268606377579	2.32077830808475e-06	0.00858167110059371
IL12_mrna	-0.048065868581279	-3.88068915890827e-09	-0.0141480171881439	0.000317369879065665	-0.0131837496984302	0.406083221007229	-0.00876215468928621	-0.473523483827165	0.00866899734978699	0.00694603555888296	-0.472283681553706	-0.0638357416507074	-0.0480658685812788	-0.0103430246625513	-0.0103430246629289	-0.000594633963074742	-0.000594633963075242	-0.000117723333962316	0.313624667221984	-0.0510771521163292	-0.0467464264574715	2.70838906857307e-13	2.70838906857307e-13	2.70838906857307e-13	2.70838906857307e-13	2.70838906857307e-13	4.30454234762179e-06	2.71060951462232e-13	2.71060951462232e-13	5.2227496188495e-05	5.22274961883284e-05	2.70450328798688e-13	2.70339306496226e-13	5.22274961882174e-05	5.2227496188495e-05	0.028394225360232	0.00211007533101126	2.70394817647457e-13	2.70394817647457e-13	-0.0124599952356684	-0.0124599952356675	2.93177567585179e-05	2.70783395706076e-13	2.70505839949919e-13	2.70838906857307e-13	2.70838906857307e-13	2.70838906857307e-13	2.70838906857307e-13	-3.88068943646402e-09	0.00010799154002411	-0.00860825581026164	-0.00860825580340857	0.000107991540024166	0.0275957843183548	2.71060951462232e-13	2.71005440311001e-13	2.71005440311001e-13	2.71005440311001e-13	-1.9070559764689e-07	-1.90705597757912e-07	-1.90705598090979e-07	-1.90705597424845e-07	-1.90705598257512e-07	2.70283795344994e-13	-0.0107963247203916	0.000552921891419478	-0.0141480171880075	0.0005529218914197	0.0977387157259278	0.00139358464224065	2.70616862252382e-13	2.70616862252382e-13	2.70616862252382e-13	0.000214529349344017	0.000214529349344461	7.90468813072209e-07	0.222258379101484	0.222258378818864	2.71005440311001e-13	0.00031736987906561	0.000317369879065776	-8.37944614706654e-06	-8.37944614701103e-06	2.70949929159769e-13	-0.472283681553706	-0.472283681553706	-4.50868803403282e-09	-4.50868720136555e-09	-4.50868775647706e-09	-5.25468557555087e-13	-4.5086874789213e-09	-0.0131837496984235	-0.0482023016673268	-0.00461032343336948	-8.27491403679326e-05	-0.47228930110967	-0.462311884781061	-0.462311884763448	0.483795738477466	0.483795738477466	2.70838906857307e-13	2.70949929159769e-13	2.70949929159769e-13	-0.00876215542388414	-0.00876215491516869	-0.00876215491517474	0.406083221007229	0.366576585080557	0.366576585080557	2.71060951462232e-13	2.71005440311001e-13	0.301005634907201	0.301005634907201	0.0159488843466205	2.70505839949919e-13	2.70838906857307e-13	2.71060951462232e-13	2.71005440311001e-13	2.71060951462232e-13	2.71005440311001e-13	0.178214114833393	0.178214114833394	2.70894418008538e-13	2.71005440311001e-13	2.70894418008538e-13	2.71005440311001e-13	0.00866899734974802	0.00081748805821602	-0.0467464264574716	2.70616862252382e-13	-0.0107963247204921	-0.00876215491518939	2.71005440311001e-13	0.00694603555890483	-0.0638357416643165	4.3045423476773e-06	0.0159488843466486
IL10	-0.0220827954432097	-1.59486225614902e-09	-0.00779983675820697	0.000168707190574116	-0.00634330308547205	0.347698020631481	-0.00427787624511768	-0.00427718546465289	-0.117335093924496	-0.0673350939244956	-0.0673278475322621	-0.021139181255435	-0.0220827954432097	-0.00795869252876301	-0.00795869252902623	-0.000360396510648772	-0.000360396510648966	-4.43279908572819e-05	0.317398156330801	-0.0299562938370504	-0.0217103991966918	2.2516710718179e-13	2.2516710718179e-13	2.2516710718179e-13	2.2516710718179e-13	2.2516710718179e-13	2.8541547847788e-06	2.25236496120829e-13	2.25222618333021e-13	-0.000119817065945299	-0.000119817065945382	2.25056084879327e-13	2.24986695940288e-13	-0.000119817065945466	-0.000119817065945341	-0.0530306169568057	-0.0164984549255282	2.24903429213441e-13	2.24903429213441e-13	-0.00961490913726853	-0.00961490913726859	-0.000217728605931278	2.25125473818366e-13	2.25028329303711e-13	2.2516710718179e-13	2.2516710718179e-13	2.2516710718179e-13	2.25153229393982e-13	-1.59486236717132e-09	-0.000247703376413347	-0.0070594320786105	-0.007059432068725	-0.000247703376413305	-0.0521026103298276	2.25208740545213e-13	2.25278129484252e-13	2.25278129484252e-13	2.25278129484252e-13	-1.73467283853812e-06	-1.73467283857975e-06	-1.73467283870465e-06	-1.73467283799689e-06	-1.73467283870465e-06	2.24986695940288e-13	-0.00623405150919187	-0.000945208605867554	-0.00779983675811907	-0.000945208605867595	0.0622177302129391	-0.00198677439335239	2.25056084879327e-13	2.25056084879327e-13	2.25056084879327e-13	0.000141552366455119	0.000141552366455286	5.24121129177879e-07	0.174071443785507	0.174071443592594	2.25194862757405e-13	0.000168707190574061	0.000168707190574227	-4.15189487164291e-06	-4.15189487164291e-06	2.25153229393982e-13	-0.0673278475322621	-0.0673278475322621	-1.85294543597614e-09	-1.85294518617596e-09	-1.85294535270941e-09	-4.01553790219111e-13	-1.85294522780932e-09	-0.00634330308547615	-0.0191173806444893	-0.00230708859835294	-3.49034928988495e-05	-0.0673279392441519	-0.0251278288109737	-0.0251278288000089	0.2878109221102	0.2878109221102	2.25153229393982e-13	2.25222618333021e-13	2.25222618333021e-13	-0.00427787670247531	-0.00427787638292328	-0.00427787638293328	0.347698020631481	0.336309742510473	0.336309742510473	2.25180984969597e-13	2.2516710718179e-13	0.307670518331433	0.307670518331433	0.00713734214713942	2.25000573728096e-13	2.25111596030558e-13	2.25180984969597e-13	2.2516710718179e-13	2.25180984969597e-13	2.2516710718179e-13	0.150047269294373	0.150047269294374	2.25153229393982e-13	2.2516710718179e-13	2.25153229393982e-13	2.2516710718179e-13	0.00291915686582125	-0.001168738482745	-0.0217103991966918	2.25083840454943e-13	-0.00623405150921383	-0.00427787638294637	2.25208740545213e-13	-0.0673350939244956	-0.0211391812931717	2.85415478488982e-06	0.00713734214719484
IL10_mrna	-0.0503174471746538	-3.40458494729745e-09	-0.016992057966135	0.000359977685561064	-0.0137639258165187	0.624419790404861	-0.00923133702941278	-0.00922982970874858	0.00618772915261828	-0.250816958700814	-0.248622721971443	-0.0480065765760322	-0.0503174471746537	-0.0173457763857788	-0.0173457763862772	-0.000769994851294642	-0.000769994851294975	-9.46339765912629e-05	0.565544384384197	-0.0703772866728662	-0.0494033193397442	3.2968072716244e-13	3.2968072716244e-13	3.2968072716244e-13	3.2968072716244e-13	3.2968072716244e-13	6.09250933586436e-06	3.29847260616134e-13	3.29791749464903e-13	-0.000255839944676595	-0.000255839944676761	3.29403171406284e-13	3.29292149103821e-13	-0.000255839944676928	-0.00025583994467665	-0.143048280655905	-0.0368878378405374	3.29181126801359e-13	3.29181126801359e-13	-0.0210534928558828	-0.0210534928558825	-0.000465018123260608	3.29625216011209e-13	3.29403171406284e-13	3.29736238313671e-13	3.29736238313671e-13	3.29736238313671e-13	3.2968072716244e-13	-3.40458528036436e-09	-0.000529076414804042	-0.0153477215138442	-0.0153477214960475	-0.000529076414803931	-0.139410447268717	3.29791749464903e-13	3.29902771767365e-13	3.29902771767365e-13	3.29902771767365e-13	-3.70289317869199e-06	-3.7028931787475e-06	-3.70289317896955e-06	-3.70289317808137e-06	-3.70289317896955e-06	3.29347660255053e-13	-0.0135228688618176	-0.00202239003785759	-0.0169920579659904	-0.00202239003785779	0.119614988465153	-0.0042620812237027	3.29514193708746e-13	3.29514193708746e-13	3.29514193708746e-13	0.000302056386738636	0.000302056386739025	1.11880084913141e-06	0.311057253658429	0.311057253324273	3.29791749464903e-13	0.000359977685561008	0.00035997768556123	-8.8628321040507e-06	-8.86283210399519e-06	3.2968072716244e-13	-0.248622721971443	-0.248622721971443	-3.95549593079636e-09	-3.95549537568485e-09	-3.95549570875176e-09	-1.00808250635964e-12	-3.955495431196e-09	-0.0137639258165196	-0.0431139359603138	-0.00495325171907221	-7.45122834727163e-05	-0.248636943082583	-0.0579023410696015	-0.0579023410505939	0.5102192266302	0.5102192266302	3.2968072716244e-13	3.29791749464903e-13	3.29791749464903e-13	-0.00923133780716309	-0.00923133727816425	-0.00923133727817491	0.624419790404861	0.602003242150651	0.602003242150651	3.29736238313671e-13	3.29736238313671e-13	0.547136684444514	0.547136684444514	0.0149839938967862	3.29347660255053e-13	3.29569704859978e-13	3.29736238313671e-13	3.29736238313671e-13	3.29736238313671e-13	3.29736238313671e-13	0.270453172149226	0.270453172149227	3.29736238313671e-13	3.29736238313671e-13	3.29736238313671e-13	3.29736238313671e-13	0.00618772915257254	-0.00250205508559179	-0.0494033193397443	3.29458682557515e-13	-0.013522868861897	-0.00923133727819261	3.29736238313671e-13	0.00457475542864172	-0.0480065766213744	6.0925093360864e-06	0.0149839938968432
