Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.0500000848738793	-2.29744834268075e-11	-4.43303264582862e-08	-1.45630774453509e-08	-6.85228044514097e-08	2.92328966589039e-10	-3.70744823730007e-11	-2.10803596800702e-14	1.39470417498816e-05	5.67268963122536e-08	-4.1869868037947e-08	-3.04617442381527e-15	-4.43786849005368e-08	-4.02697319934475e-12	-4.02697319934475e-12	-2.01505478969466e-12	-2.01505478969466e-12	0	0.209707006664528	-8.39068147809319e-08	-8.48738792857961e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.61047344535848e-14	1.31838984174237e-16	0	0	-2.01194616522571e-12	-2.01194616522571e-12	6.93889390390723e-18	0	0	0	0	0	0	-2.29744834268075e-11	0	-3.28903571045203e-15	-3.28903571045203e-15	0	8.60839177718731e-14	0	0	0	0	0	0	0	0	0	0	-3.70578567832069e-13	1.00120731150177e-10	-4.43303264582862e-08	1.00120731150177e-10	2.28837032656415e-10	9.80463283548061e-08	0	0	0	-1.15956549917584e-12	-1.15956549917584e-12	1.1783143905042e-12	1.31996593159545e-05	1.31996592903916e-05	0	-1.45630774453509e-08	-1.45630774453509e-08	-1.4974872730722e-08	-1.4974872730722e-08	0	-4.1869868037947e-08	-4.1869868037947e-08	-2.30224450614713e-11	-2.30224450614713e-11	-2.30224450614713e-11	-3.46944695195361e-17	-2.30224450614713e-11	-6.85228044652875e-08	-7.46334611889665e-08	-4.16914798309631e-08	1.70641972774277e-12	-5.88706810175643e-08	-1.27033635000107e-09	-1.27033635000107e-09	3.36715232293616e-08	3.36715232293616e-08	0	0	0	-3.70744823730007e-11	-3.70744823730007e-11	-3.70744823730007e-11	2.92328966589039e-10	6.34772026608665e-11	6.34772026608665e-11	0	0	2.87637968998666e-13	2.87637968998666e-13	7.12988626472288e-11	0	0	0	0	0	0	2.35228503342455e-15	2.35228503342455e-15	0	0	0	0	1.39470417517204e-05	9.80453872881371e-08	-8.48738792857961e-08	0	-3.70578567832069e-13	-3.70744823730007e-11	0	5.67268968049151e-08	-3.04617442381527e-15	0	7.12988626472288e-11
IL1	0	-0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL6	-9.95750149002106e-11	-8.686357882981e-11	-0.0500001609773148	-4.90480850379171e-11	-1.36801341955872e-07	2.39544210856035e-10	-8.10715453103406e-11	-4.61020110975596e-14	1.33120583410695e-07	1.12871923058089e-08	-1.36854666536734e-07	-1.15463194561016e-14	-9.95750149002106e-11	-7.60796980969758e-12	-7.60796980969758e-12	8.32667268468867e-17	8.32667268468867e-17	0	5.52478059867578e-06	6.08522954248514e-12	-4.23272528138341e-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32019395415739e-13	2.77555756156289e-17	0	0	-7.60805307642443e-12	-7.60805307642443e-12	0	0	0	0	0	0	0	-8.686357882981e-11	0	-1.24344978758018e-14	-1.24344978758018e-14	0	1.31984700946219e-13	0	0	0	0	0	0	0	0	0	0	-1.60977314825339e-07	1.55321130956843e-10	6.32385532828295e-11	1.55321130956843e-10	3.66533192686092e-13	1.33118096018459e-07	0	0	0	1.44496220544355e-12	1.44496220544355e-12	-4.85722573273506e-17	1.97476482388659e-09	1.97476481694769e-09	0	-4.90480850379171e-11	-4.90480850379171e-11	-1.15463194561016e-14	-1.15463194561016e-14	0	-1.36854666536734e-07	-1.36854666536734e-07	-8.70449198830947e-11	-8.70449198830947e-11	-8.70449198830947e-11	-7.63278329429795e-17	-8.70449198830947e-11	-1.36801341962811e-07	-2.13083571620754e-10	-1.36787445884079e-07	4.31026742075957e-12	-1.60977314825339e-07	4.57488213978507e-13	4.57488213978507e-13	1.33098740674742e-07	1.33098740674742e-07	0	0	0	-8.10715453103406e-11	-8.10715453103406e-11	-8.10715453103406e-11	2.39544210856035e-10	2.39177240513033e-10	2.39177240513033e-10	0	0	-1.38777878078145e-17	-1.38777878078145e-17	7.25774926269018e-11	0	0	0	0	0	0	5.82867087928207e-16	5.82867087928207e-16	0	0	0	0	1.33120583417634e-07	1.33116455296178e-07	-4.23272528138341e-16	0	-1.60977314825339e-07	-8.10715453103406e-11	0	1.12871923058089e-08	-1.15463194561016e-14	0	7.25774926269018e-11
LPS	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	-2.60753232200761e-09	-8.16111067614145e-13	-1.18265297555098e-09	2.3551410821554e-11	-0.0500068092775395	-1.06225156448758e-09	-6.80927753952953e-06	-3.87058881473612e-09	1.08804316733407e-06	1.04803251806118e-07	-1.61054260205962e-09	-1.11022302462516e-16	-2.60753232200761e-09	-1.30048749547029e-13	-1.30048749547029e-13	-7.17134684968812e-14	-7.17134684968812e-14	0	0.0334659202841478	-3.80794272503149e-09	-1.01169073118967e-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07083525274976e-12	3.05311331771918e-16	0	0	-5.83352810501481e-14	-5.83352810501481e-14	6.93889390390723e-18	0	0	0	0	0	0	-8.16111067614145e-13	0	-9.71445146547012e-17	-9.71445146547012e-17	0	3.06991237986054e-12	0	0	0	0	0	0	0	0	0	0	-1.78329573330416e-15	1.42696916782814e-09	-1.18265297555098e-09	1.42696916782814e-09	1.18024409689887e-11	9.02624072367242e-07	0	0	0	8.99060648283656e-07	8.99060648366923e-07	4.19317358613114e-14	1.79220947756076e-07	1.79220947270353e-07	0	2.3551410821554e-11	2.3551410821554e-11	-1.88737914186277e-15	-1.88737914186277e-15	0	-1.61054260205962e-09	-1.61054260205962e-09	-8.17818035514506e-13	-8.17818035514506e-13	-8.17818035514506e-13	-6.93889390390723e-18	-8.17818035514506e-13	1.91854888920151e-09	-5.25736398165888e-09	4.06611557618453e-09	1.04083408558608e-14	-2.37319797147251e-09	-4.57951732091288e-11	-4.57951732091288e-11	1.3429206358051e-10	1.3429206358051e-10	0	0	0	-6.80927753952953e-06	-6.80927753952953e-06	-6.80927753952953e-06	-1.06225156448758e-09	-1.07405412341777e-09	-1.07405412341777e-09	0	0	1.02348685082632e-14	1.02348685082632e-14	-3.22921175910373e-10	0	0	0	0	0	0	-2.56045185054177e-15	-2.56045185054177e-15	0	0	0	0	1.0880431673202e-06	9.02622365087091e-07	-1.01169073118967e-14	0	-1.78329573330416e-15	-6.80927753952953e-06	0	1.04803251819996e-07	-1.11022302462516e-16	0	-3.22921175910373e-10
IL4	-0	-0	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-2.41035133261708e-06	-1.14459128286448e-09	-2.40743314417619e-06	2.25398486680684e-08	-4.01632495962423e-06	1.45567126408341e-08	-0.0500053612944563	-5.36129445625338e-06	0.00022894546017959	2.62654920121091e-06	-2.2600934465114e-06	-1.52079737691935e-13	-2.41035133261014e-06	-2.0061841077279e-10	-2.0061841077279e-10	-1.00387143042724e-10	-1.00387143042724e-10	-6.93889390390723e-18	0.241934012162666	-5.35456483184704e-06	-9.76852626566327e-12	0	0	0	0	0	6.93889390390723e-18	0	0	0	0	-6.93889390390723e-18	0	0	0	4.28945073904785e-12	6.44623243672982e-15	-6.93889390390723e-18	-6.93889390390723e-18	-1.00232273869683e-10	-1.00232273869683e-10	1.52655665885959e-16	0	0	0	0	0	0	-1.14459127592559e-09	0	-1.63834223965154e-13	-1.63834223965154e-13	0	4.28816010478172e-12	0	-6.93889390390723e-18	-6.93889390390723e-18	-6.93889390390723e-18	0	0	0	0	0	0	-1.84616766318868e-11	4.9870679946773e-09	-2.40743314417619e-06	4.9870679946773e-09	1.13962148051705e-08	4.35855173868543e-06	0	0	0	-5.77680958624427e-11	-5.77680958624427e-11	5.87011550479133e-11	0.000219899139719329	0.000219899139532728	0	2.25398486680684e-08	2.25398486750072e-08	-1.874653210443e-12	-1.874653210443e-12	0	-2.2600934465114e-06	-2.2600934465114e-06	-1.146980906086e-09	-1.146980906086e-09	-1.146980906086e-09	-1.96370697480575e-15	-1.146980906086e-09	-4.01632495961729e-06	-4.49854642729092e-06	-2.24949553398468e-06	8.50104639460447e-11	-3.33154030258964e-06	-6.34120353448786e-08	-6.34120353448786e-08	1.60117974721402e-06	1.60117974720708e-06	0	-6.93889390390723e-18	-6.93889390390723e-18	-1.84709515044235e-09	-1.84709515044235e-09	-1.84709515044235e-09	1.45567126338952e-08	3.16201439337638e-09	3.16201439337638e-09	0	0	1.43292114285209e-11	1.43292114285209e-11	3.55159457399168e-09	0	-6.93889390390723e-18	0	0	0	0	1.16850973341798e-13	1.16850973341798e-13	0	0	0	0	0.000228945460198929	4.35851358945166e-06	-9.76852626566327e-12	0	-1.84616766318868e-11	-1.84709515044235e-09	0	2.62654920653305e-06	-1.52079737691935e-13	6.93889390390723e-18	3.55159457399168e-09
IL12_mrna	-7.13568528854453e-05	-3.13416122719177e-08	-7.12620991327425e-05	6.16805464478151e-07	-0.000128980658922415	3.98430593060426e-07	-5.05787742235899e-08	-0.000205519691840376	0.00284735004805564	6.77174594006864e-05	-6.65120224745941e-05	-4.16423267938539e-12	-7.13568528854189e-05	-5.49326771199263e-09	-5.49326770066271e-09	-2.74876057728074e-09	-2.74876057763311e-09	-4.7867525915235e-17	0.508096928433414	-0.000203779848872382	-2.67477200734416e-10	6.15284732885524e-18	6.15284732885524e-18	6.15284732885524e-18	6.15284732885524e-18	6.15284732885524e-18	1.84829365354466e-16	8.15862134795342e-18	-7.31836466427715e-19	-2.71050543121376e-20	-1.0842021724855e-19	-1.66425033476525e-17	7.12862928409219e-18	2.16840434497101e-19	4.87890977618477e-19	1.17451733072389e-10	1.76621439912719e-13	7.80625564189563e-18	7.80625564189563e-18	-2.74451988403496e-09	-2.74451988566127e-09	4.27002183611691e-15	1.35525271560688e-19	-5.42101086242752e-20	-5.42101086242752e-20	-5.42101086242752e-20	-5.42101086242752e-20	-8.13151629364128e-20	-3.1341612266063e-08	3.03576608295941e-18	-4.48605090791823e-12	-4.48604331850302e-12	2.38524477946811e-18	1.17416371574587e-10	1.35525271560688e-19	5.42101086242752e-20	5.42101086242752e-20	5.42101086242752e-20	-8.45677694538693e-18	-1.00288700954909e-18	2.98155597433514e-19	3.25260651745651e-18	-2.27140355135713e-17	-2.27140355135713e-17	-5.05509022662165e-10	1.36535395875068e-07	-7.12620991327426e-05	1.36535395875122e-07	3.1195108882829e-07	0.000108834057322254	-1.61817174243462e-17	-1.61817174243462e-17	-1.61817174243462e-17	-1.58178112792738e-09	-1.58178111494406e-09	1.60732456074768e-09	0.00276267074775626	0.00276267074736691	1.66153982933404e-17	6.16805464469315e-07	6.16805464498453e-07	-5.13309737326228e-11	-5.13309813762481e-11	1.65340831304039e-17	-6.65120224745991e-05	-6.65120224746038e-05	-3.14070479251515e-08	-3.14070479250431e-08	-3.14070479359122e-08	-5.36521781863142e-14	-3.14070479252057e-08	-0.000128980658922232	-0.000149782095738791	-6.61728735166316e-05	2.32771099457582e-09	-0.000102824964124639	-1.73926703659342e-06	-1.73926703659594e-06	4.21774223149224e-05	4.2177422314879e-05	-8.13151629364128e-20	7.53520509877426e-18	7.53520509877426e-18	-5.05787742097392e-08	-5.05787742263817e-08	-5.05787742231291e-08	3.9843059307818e-07	8.65734878761372e-08	8.65734878763812e-08	4.60785923306339e-19	-1.0842021724855e-19	3.92355553266183e-10	3.92355553103553e-10	9.72388804578231e-08	4.60785923306339e-19	-4.60785923306339e-19	4.60785923306339e-19	-1.0842021724855e-19	4.60785923306339e-19	-1.0842021724855e-19	3.19957341871069e-12	3.19958030339448e-12	4.60785923306339e-19	-1.0842021724855e-19	4.60785923306339e-19	-1.0842021724855e-19	0.00284735004805945	0.000108833176029864	-2.67477188184775e-10	-2.27140355135713e-17	-5.0550902274348e-10	-5.05787742264088e-08	-2.27140355135713e-17	6.77174594230351e-05	-4.16421666029829e-12	1.86130407961449e-16	9.72388804400151e-08
IL10	3.03524105420561e-05	-3.75471098656988e-09	-3.23202474635798e-05	-2.5247998236555e-07	-0.000226361224312632	1.74321207468964e-08	-8.69540467407504e-08	-4.94331242606449e-11	-0.743551691671631	-0.0435516916716295	-8.01463472399622e-06	-4.98823204964083e-13	3.03524105420561e-05	-9.04134989099248e-10	-9.0413510012155e-10	-3.36775829445912e-10	-3.36775940468215e-10	0	0.0674097212453698	-2.49662354523394e-05	1.05499831093425e-10	0	0	0	0	0	0	0	0	-1.11022302462516e-16	-1.11022302462516e-16	1.11022302462516e-16	0	-1.11022302462516e-16	-2.22044604925031e-16	-5.49709586739056e-08	-1.30027211220352e-10	0	0	-5.67360824987873e-10	-5.6736071396557e-10	-3.14348547192367e-12	0	0	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-3.75471087554757e-09	-1.11022302462516e-15	-9.29811783123569e-13	-9.29811783123569e-13	-1.11022302462516e-15	-5.49544146855041e-08	0	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0	1.11022302462516e-16	0	0	-1.11022302462516e-16	-1.11022302462516e-16	-5.64162938587742e-10	-6.2684617198383e-05	-3.23202474638018e-05	-6.2684617198383e-05	-1.23053771283743e-07	-0.0435516416442632	0	0	0	4.10944964379656e-06	4.1094496440186e-06	1.96928251483541e-10	-0.000510391499049079	-0.000510391499050744	0	-2.5247998236555e-07	-2.5247998236555e-07	1.81183956726727e-11	1.81182846503702e-11	0	-8.01463472377417e-06	-8.01463472388519e-06	-3.76255004930215e-09	-3.76255004930215e-09	-3.76255016032445e-09	-8.99280649946377e-15	-3.76255016032445e-09	-0.000226361224312521	7.20655696214711e-05	-0.000257858650881904	3.14075176977013e-09	-1.24399932815988e-05	2.810187638147e-10	2.810187638147e-10	6.64667133580821e-05	6.64667133579711e-05	1.11022302462516e-16	0	0	-8.69540467407504e-08	-8.69540467407504e-08	-8.69540467407504e-08	1.74321207468964e-08	1.40429818107357e-07	1.40429818107357e-07	0	-1.11022302462516e-16	4.80712136763373e-11	4.80711026540348e-11	1.46114730315006e-08	0	0	0	-1.11022302462516e-16	0	-1.11022302462516e-16	7.11319891877338e-13	7.11208869574875e-13	0	-1.11022302462516e-16	0	-1.11022302462516e-16	-0.0435460663350395	-0.0435514216118189	1.05499720071123e-10	-1.11022302462516e-16	-5.64162938587742e-10	-8.69540467407504e-08	-1.11022302462516e-16	-0.04355169167163	-4.98823204964083e-13	1.11022302462516e-16	1.46114731425229e-08
IL10_mrna	0.000169613283203252	-2.09831436670527e-08	-0.000180633339366298	-1.41098119610383e-06	-0.00126561414730597	9.74191325386897e-08	-4.85941425931724e-07	-2.76256406639419e-10	-0.381800545467838	-0.385272858121222	-4.47904075874805e-05	-2.787825525985e-12	0.000169613283203085	-5.05274477813344e-09	-5.0527450556892e-09	-1.88206739082375e-09	-1.88206716877914e-09	-5.55111512312578e-17	0.36885223902641	-0.000139530660794362	5.89583604160282e-10	2.77555756156289e-16	2.77555756156289e-16	2.77555756156289e-16	2.77555756156289e-16	2.77555756156289e-16	1.66533453693773e-16	5.55111512312578e-17	0	-7.21644966006352e-16	-5.55111512312578e-16	3.33066907387547e-16	2.77555756156289e-16	-7.7715611723761e-16	-8.32667268468867e-16	-3.07204382765658e-07	-7.2665518047188e-10	2.77555756156289e-16	2.77555756156289e-16	-3.17068715727231e-09	-3.17068715727231e-09	-1.75674474967025e-11	5.55111512312578e-17	0	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-2.09831436115415e-08	-6.21724893790088e-15	-5.19623233330435e-12	-5.19617682215312e-12	-6.32827124036339e-15	-3.07111927166925e-07	1.66533453693773e-16	2.77555756156289e-16	2.77555756156289e-16	2.77555756156289e-16	2.22044604925031e-16	1.11022302462516e-16	-5.55111512312578e-17	1.66533453693773e-16	-1.11022302462516e-16	-1.11022302462516e-16	-3.15281567520032e-09	-0.00035035770071451	-0.000180633339366243	-0.00035035770071451	-6.8768426358945e-07	-0.384960861562187	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	2.29653993487067e-05	2.29653993490397e-05	1.10053000046406e-09	-0.00285537391754254	-0.00285537391757412	0	-1.41098119604832e-06	-1.41098119610383e-06	1.01253894158049e-10	1.01253672113444e-10	1.66533453693773e-16	-4.47904075871475e-05	-4.4790407587314e-05	-2.10269528455598e-08	-2.10269527345375e-08	-2.10269529010709e-08	-4.9737991503207e-14	-2.10269529010709e-08	-0.00126561414730569	0.00040267710106312	-0.00144181554729306	1.75520419309905e-08	-6.95225065881488e-05	1.57046892157453e-09	1.57046892157453e-09	0.000371396966411919	0.000371396966411697	1.11022302462516e-16	2.77555756156289e-16	2.77555756156289e-16	-4.85941426042746e-07	-4.85941425876213e-07	-4.85941426098258e-07	9.74191325386897e-08	7.84789625507543e-07	7.8478962539652e-07	0	5.55111512312578e-17	2.68644717582589e-10	2.68644828604891e-10	8.16559874716738e-08	0	2.22044604925031e-16	0	5.55111512312578e-17	0	5.55111512312578e-17	3.97487598391422e-12	3.97482047276299e-12	0	5.55111512312578e-17	0	5.55111512312578e-17	-0.381800545468012	-0.384535375604225	5.89583382115677e-10	-1.11022302462516e-16	-3.15281561968916e-09	-4.85941425987235e-07	-1.11022302462516e-16	-0.0257724231931074	-2.787825525985e-12	4.44089209850063e-16	8.16559874716738e-08
