Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.0500024609027965	-1.59039448277554e-14	-1.90642532815061e-06	-5.51891388284043e-08	-1.91250651960378e-06	1.15486049784633e-05	-9.22199358543985e-10	-6.4900793073086e-12	1.06699289209589e-07	2.96418861678305e-11	-1.31501251554589e-08	-9.5062846483529e-16	-1.90662974167838e-06	-3.4453294384118e-10	-3.4453294384118e-10	-1.36807648543069e-11	-1.36807648543069e-11	0	0.228345915074806	-2.45974422357492e-06	-2.46090279645839e-06	0	0	0	0	0	3.46944695195361e-17	0	0	0	0	0	0	0	0	-3.4543340410309e-12	4.47052117547031e-13	0	0	-2.67972861539567e-08	-2.67972861539567e-08	2.09651740412653e-12	0	0	0	0	0	0	-1.59039448277554e-14	-9.37513955356906e-14	-2.67969015865788e-08	-2.67969015935177e-08	-9.37513955356906e-14	-1.3179041191691e-13	0	0	0	0	0	0	0	0	0	0	-4.34105251745365e-11	2.07635575399934e-10	-1.90642532815061e-06	2.07635575399934e-10	8.85024306547522e-06	3.08508135704599e-10	0	0	0	1.66533453693773e-16	1.66533453693773e-16	4.09394740330526e-16	9.09220186267462e-06	9.09220186275095e-06	0	-5.51891388284043e-08	-5.51891388284043e-08	-8.08658179307642e-08	-8.08658179307642e-08	0	-1.31501251554589e-08	-1.31501251554589e-08	-2.34395836073986e-14	-2.34395836073986e-14	-2.34395836073986e-14	0	-2.34395836073986e-14	-1.91250651960378e-06	-2.4597122413178e-06	-1.29971403708962e-08	1.32422052490089e-10	-3.44801352816781e-08	-1.51180762145153e-08	-1.51180762145153e-08	-9.38998278576797e-08	-9.38998278229852e-08	0	0	0	-9.22199358543985e-10	-9.22199358543985e-10	-9.22199358543985e-10	1.15486049784633e-05	2.70284556701944e-06	2.70284556702638e-06	0	0	1.19854209283676e-06	1.19854209283676e-06	3.62476443777071e-07	0	0	0	0	0	0	2.86435502330762e-07	2.86435502358517e-07	0	0	0	0	1.06699289209589e-07	1.64299393534684e-10	-2.46090279645839e-06	0	-4.34105251745365e-11	-9.22199358543985e-10	0	2.96418931067244e-11	-9.5062846483529e-16	3.46944695195361e-17	3.62476443707682e-07
IL1	0	-0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL6	-4.83810103785176e-09	-2.3294560724807e-13	-0.0500003677532995	3.10132496766924e-09	-1.81212288480337e-07	-7.3652638085675e-08	-9.28479237938262e-11	-6.5342870003704e-13	1.26525818780476e-08	3.5097411088536e-12	-1.81143435203091e-07	-1.38639100200066e-14	-4.83810103785176e-09	-4.83935754663767e-09	-4.83935754663767e-09	6.93889390390723e-18	6.93889390390723e-18	0	3.08913752692236e-05	1.25514876270216e-12	-9.07635078206681e-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54429888216323e-11	5.29298826990043e-14	0	0	-3.29148426750359e-07	-3.29148426750359e-07	2.48238929412281e-13	0	0	0	0	0	0	-2.3294560724807e-13	1.60995522469065e-12	-3.29144898204847e-07	-3.29144898211786e-07	1.60995522469065e-12	2.23599611048897e-12	0	0	0	0	0	0	0	0	0	0	-3.67753299507223e-07	-2.58321072865719e-11	-2.5355370580904e-11	-2.58321072865719e-11	-3.29144541649784e-07	-1.88452239924253e-11	0	0	0	4.44089209850063e-16	4.44089209850063e-16	0	1.15893810034851e-06	1.15893810034851e-06	0	3.10132496766924e-09	3.10132496766924e-09	-4.33195146420928e-14	-4.33195146420928e-14	0	-1.81143435203091e-07	-1.81143435203091e-07	-3.43260142532387e-13	-3.43260142532387e-13	-3.43260142532387e-13	0	-3.43260142532387e-13	-1.81212288480337e-07	1.07538977722754e-12	-1.81212856727175e-07	-2.12697498502834e-11	-3.67753299507223e-07	2.7498142651794e-13	2.7498142651794e-13	7.49956530217422e-07	7.49956530217422e-07	0	0	0	-9.28479237938262e-11	-9.28479237938262e-11	-9.28479237938262e-11	-7.3652638085675e-08	5.91089816183443e-07	5.91089816183443e-07	0	0	-2.80074574643407e-13	-2.80074574643407e-13	-5.12620059872626e-08	0	0	0	0	0	0	3.96137325442414e-08	3.96137325442414e-08	0	0	0	0	1.26525818780476e-08	-9.99306887239371e-12	-9.07635078206681e-13	0	-3.67753299507223e-07	-9.28479237938262e-11	0	3.5097411088536e-12	-1.38639100200066e-14	0	-5.12620059664459e-08
LPS	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	-3.63159486302389e-08	-2.56739074444567e-16	-3.63107809583929e-08	4.21062920641369e-10	-0.0500077585457768	1.38547902581165e-07	-7.75854577677454e-06	-5.45902027124234e-08	1.71479945521025e-09	4.79297157518488e-13	-2.12695187851164e-10	-6.93889390390723e-18	-3.63159486302389e-08	-5.54838813782155e-12	-5.54838813782155e-12	-2.21128670929716e-13	-2.21128670929716e-13	0	0.0514418396328411	-5.45727238884797e-08	-4.69673605563159e-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1237885622073e-12	7.23726634177524e-15	0	0	-4.32627815516451e-10	-4.32627815516451e-10	3.39034356144907e-14	0	0	0	0	0	0	-2.56739074444567e-16	7.73270336651422e-14	-4.32617643097988e-10	-4.32617643097988e-10	7.73270336651422e-14	1.06734066029901e-13	0	0	0	0	0	0	0	0	0	0	-7.01667890457003e-13	3.5452543678538e-12	-3.63107809583929e-08	3.5452543678538e-12	1.10756557515634e-07	5.67143554341953e-12	0	0	0	1.31458038898913e-12	1.31458038898913e-12	6.93889390390723e-18	1.13309727219069e-07	1.13309727219069e-07	0	4.21062920641369e-10	4.21062920641369e-10	-1.54355694892416e-13	-1.54355694892416e-13	0	-2.12695187851164e-10	-2.12695187851164e-10	-3.7470027081099e-16	-3.7470027081099e-16	-3.7470027081099e-16	0	-3.7470027081099e-16	-3.64595183072192e-08	-5.45705188953471e-08	-2.09841088949503e-10	2.14055162484073e-12	-5.58362286962044e-10	-2.44574027696842e-10	-2.44574027696842e-10	-1.52467055647421e-09	-1.52467055647421e-09	0	0	0	-7.75854577677454e-06	-7.75854577677454e-06	-7.75854577677454e-06	1.38547902581165e-07	3.89733394723368e-08	3.89733394723368e-08	0	0	1.82765414677433e-08	1.82765414677433e-08	5.74608027131829e-09	0	0	0	0	0	0	4.55751163891405e-09	4.55751165279183e-09	0	0	0	0	1.71479945521025e-09	3.05026837121858e-12	-4.69673605563159e-12	0	-7.01667890457003e-13	-7.75854577677454e-06	0	4.79297157518488e-13	-6.93889390390723e-18	0	5.74608027131829e-09
IL4	-0	-0	-0	-0	-0	-0.7	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-4.42797699916064e-05	-3.12867787233273e-13	-4.42736628729623e-05	5.12433617996799e-07	-4.44556153124664e-05	0.000167412550950777	-0.0500666250031386	-6.66250031385804e-05	2.0862800569621e-06	5.83086787186993e-10	-2.58872549584177e-07	-1.8623991238087e-14	-4.42797699916064e-05	-6.77746644917043e-09	-6.77746644917043e-09	-2.69115604800696e-10	-2.69115604800696e-10	6.93889390390723e-18	0.258595740770363	-6.66036102645179e-05	-5.71587593922729e-09	0	0	0	0	0	6.73072708679001e-16	0	6.93889390390723e-18	0	0	0	0	0	0	-6.79503953104899e-11	8.79398637243511e-12	0	0	-5.27945053271917e-07	-5.27945053271917e-07	4.12407538674664e-11	0	0	0	0	0	0	-3.12867787233273e-13	-1.84420534399266e-12	-5.27937465182038e-07	-5.27937465188977e-07	-1.84420534399266e-12	-2.59250260148391e-12	0	6.93889390390723e-18	6.93889390390723e-18	6.93889390390723e-18	0	0	0	0	0	0	-8.53933715405653e-10	4.08436590104699e-09	-4.42736628729623e-05	4.08436590104699e-09	0.000134018039144229	6.06857863266752e-09	0	0	0	3.23352455922077e-15	3.24046345312468e-15	8.05605582243629e-15	0.000137098473330891	0.000137098473331085	0	5.12433617996799e-07	5.12433617996799e-07	-1.87852122746079e-10	-1.87852122746079e-10	0	-2.58872549584177e-07	-2.58872549584177e-07	-4.61040927657308e-13	-4.61033988763404e-13	-4.61033988763404e-13	-6.93889390390723e-18	-4.61033988763404e-13	-4.44556153124664e-05	-6.66008880792074e-05	-2.5585864776162e-07	2.60486407444027e-09	-6.79610200449154e-07	-2.97647232923304e-07	-2.97647232923304e-07	-1.85721990651061e-06	-1.85721990627469e-06	0	0	0	-1.81416099018228e-08	-1.81416099018228e-08	-1.81416099018228e-08	0.000167412550950777	4.73558634131108e-05	4.73558634131177e-05	0	0	2.22212027946311e-05	2.22212027946311e-05	6.99068403552106e-06	0	0	0	0	0	0	5.54625597385533e-06	5.54625597403574e-06	0	0	0	0	2.0862800569621e-06	3.23191494400188e-09	-5.71587593922729e-09	0	-8.53933715405653e-10	-1.81416099018228e-08	0	5.83086794125887e-10	-1.8623991238087e-14	6.73072708679001e-16	6.99068403534758e-06
IL12_mrna	-0.000673544195798769	-4.17041292992415e-12	-0.000673432979406937	6.8230810840147e-06	-0.000676750241996948	0.00180710860869325	-2.41830656902853e-07	-0.00124325487105725	2.76866547260389e-05	7.77233119444304e-09	-3.45259759869506e-06	-2.48222449539259e-13	-0.000673544195798778	-9.03425464084551e-08	-9.03425463943605e-08	-3.58721809591914e-09	-3.58721808225819e-09	1.14925430283463e-17	0.538534099658648	-0.00123928039142129	-7.61915409104152e-08	1.0842021724855e-18	1.0842021724855e-18	1.0842021724855e-18	1.0842021724855e-18	1.0842021724855e-18	8.92493544346618e-15	-2.10335221462188e-17	-1.0842021724855e-18	-2.5804011705155e-17	-2.7972416050126e-17	8.67361737988404e-19	-1.84314369322536e-17	-2.5804011705155e-17	-3.31765864780564e-17	-9.05754932644873e-10	1.17220642264007e-10	-4.98732999343332e-18	-4.98732999343332e-18	-7.04531201952655e-06	-7.04531201952655e-06	5.49724675936308e-10	-1.86482773667507e-17	-1.82145964977565e-17	-1.77809156287623e-17	-1.77809156287623e-17	-1.77809156287623e-17	-4.33680868994202e-19	-4.17041770041371e-12	-2.45826078677097e-11	-7.04521064279705e-06	-7.04521064287121e-06	-2.45826210949762e-11	-3.45571761310726e-11	1.58293517182884e-17	8.67361737988404e-19	8.67361737988404e-19	8.67361737988404e-19	0	-2.1467203015213e-17	-1.79977560632594e-17	-1.79977560632594e-17	-3.20923843055709e-17	-1.21430643318376e-17	-1.13826556544065e-08	5.44426782143805e-08	-0.000673432979406937	5.44426782132963e-08	0.00148940080356502	8.0890957501311e-08	-1.77809156287623e-17	-1.77809156287623e-17	-1.77809156287623e-17	4.31571011566545e-14	4.31299961023424e-14	1.07307175298277e-13	0.00151930759599711	0.00151930759599762	-1.30104260698261e-18	6.82308108401449e-06	6.82308108403986e-06	-2.50400347115085e-09	-2.50400347960762e-09	-2.01661604082304e-17	-3.45259759869398e-06	-3.4525975986942e-06	-6.14549513708318e-12	-6.14546347837974e-12	-6.14547518776321e-12	-1.25767452008319e-16	-6.14548971607232e-12	-0.000676750241996962	-0.00123892537997935	-3.41237891641945e-06	3.47217241766177e-08	-9.07221852193833e-06	-3.97006864764535e-06	-3.97006864764579e-06	-2.48558345312562e-05	-2.4855834528652e-05	-4.33680868994202e-19	-1.82145964977565e-17	-1.82145964977565e-17	-2.4183065693538e-07	-2.41830656936681e-07	-2.41830656903287e-07	0.00180710860869325	0.000581228374112538	0.000581228374112453	-2.01661604082304e-17	-1.75640751942652e-17	0.000283793226823239	0.000283793226823234	9.18463212858836e-05	-1.79977560632594e-17	-1.73472347597681e-17	-2.01661604082304e-17	-1.75640751942652e-17	-2.01661604082304e-17	-1.75640751942652e-17	7.30806780223302e-05	7.30806780257403e-05	0	-1.75640751942652e-17	0	-1.75640751942652e-17	2.7686654726038e-05	4.30799862280624e-08	-7.61915408971879e-08	-1.21430643318376e-17	-1.13826556505034e-08	-2.41830656901336e-07	-1.21430643318376e-17	7.77233121287448e-09	-2.48223316900997e-13	8.91149133652736e-15	9.18463212856873e-05
IL10	-3.74119080721186e-06	-7.31706362167017e-14	-4.15614865482278e-06	7.20372320614504e-08	-4.6378322336102e-06	1.3202921886446e-05	-2.19843156179511e-09	-1.54716239819663e-11	-0.0500072876458713	-7.28764587134417e-06	-4.12536378113781e-08	-2.77555756156289e-15	-3.74119080721186e-06	-4.26256413083026e-08	-4.26256413083026e-08	-2.32607891281766e-11	-2.32607891281766e-11	0	0.294313821235993	-5.84663922308104e-06	-5.00137285752711e-10	0	0	0	0	0	6.24500451351651e-17	0	0	-5.07163755436579e-14	-5.07163755436579e-14	0	0	-5.07163755436579e-14	-5.07163755436579e-14	-2.72978717723998e-06	-1.09903659346877e-07	0	0	-3.13925037419283e-06	-3.13925037419283e-06	-5.15412340501564e-07	0	0	0	0	0	0	-7.31706362167017e-14	-1.38789058024003e-07	-3.15434029852374e-06	-3.15434029857925e-06	-1.38789058024003e-07	-1.92387128485072e-07	0	0	0	0	0	0	0	0	0	0	-9.23534235197643e-11	-6.35429231538032e-07	-4.15614865482278e-06	-6.35429231538032e-07	7.35594312291366e-06	-2.43086276884019e-06	0	0	0	6.24778007107807e-14	6.24778007107807e-14	6.93889390390723e-16	2.73440740159239e-05	2.73440740160141e-05	0	7.20372320614504e-08	7.20372320614504e-08	-1.64381910860989e-11	-1.64381910860989e-11	0	-4.12536378113781e-08	-4.12536378113781e-08	-1.07816533478911e-13	-1.07816533478911e-13	-1.07816533478911e-13	-4.16333634234434e-17	-1.07816533478911e-13	-4.6378322336102e-06	-5.82716916643772e-06	-1.33995802246295e-06	2.50201734330879e-11	-1.33007335798019e-07	-2.3131288551248e-12	-2.3131288551248e-12	1.93947853084631e-06	1.93947853087406e-06	0	0	0	-2.19843156179511e-09	-2.19843156179511e-09	-2.19843156179511e-09	1.3202921886446e-05	5.86179482520155e-06	5.86179482519461e-06	0	0	1.95379639580245e-06	1.95379639580245e-06	7.45532955301331e-08	0	0	0	0	0	0	5.68233676480345e-07	5.68233676563612e-07	0	0	0	0	-1.08591206837011e-06	-1.35258961637269e-06	-5.00137292691605e-10	0	-9.23534235197643e-11	-2.19843156179511e-09	0	-7.28764587134417e-06	-2.77555756156289e-15	6.24500451351651e-17	7.45532956272776e-08
IL10_mrna	-0.000676767421870973	-1.12745802277603e-11	-0.000770512563581046	1.10729204217635e-05	-0.0008873371704098	0.00152888068441549	-3.38764057171599e-07	-2.38390220020854e-09	-0.000173921986138058	-0.00220060201218332	-6.3652828124908e-06	-4.27079812487241e-13	-0.000676767421870982	-6.57728230549996e-06	-6.57728230548695e-06	-3.58407575362998e-09	-3.58407574018588e-09	9.97465998686664e-18	0.650311083630279	-0.00123816661145432	-7.70635182685726e-08	8.67361737988404e-19	8.67361737988404e-19	8.67361737988404e-19	8.67361737988404e-19	8.67361737988404e-19	8.91777970912777e-15	-2.08166817117217e-17	-8.67361737988404e-19	-7.81428524318506e-12	-7.81428697790854e-12	1.73472347597681e-18	-1.82145964977565e-17	-7.81428437582332e-12	-7.81429218207896e-12	-0.000468643650748782	-1.69971863137942e-05	-4.77048955893622e-18	-4.77048955893622e-18	-0.000549863994438725	-0.000549863994438725	-8.08414357541102e-05	-1.90819582357449e-17	-1.82145964977565e-17	-1.69135538907739e-17	-1.69135538907739e-17	-1.69135538907739e-17	-4.33680868994202e-19	-1.12745858656116e-11	-2.14855758913679e-05	-0.00055293056087633	-0.000552930560878059	-2.14855758913827e-05	-2.9837560957808e-05	1.60461921527855e-17	8.67361737988404e-19	8.67361737988404e-19	8.67361737988404e-19	-4.33680868994202e-19	-2.03830008427275e-17	-1.73472347597681e-17	-1.69135538907739e-17	-3.12250225675825e-17	-1.21430643318376e-17	-1.42300572241426e-08	-0.000100094038254264	-0.000770512563581047	-0.000100094038254266	0.00094127473640528	-0.000411586273047555	-1.73472347597681e-17	-1.73472347597681e-17	-1.73472347597681e-17	9.62553127481502e-12	9.62550395292028e-12	1.07213717071009e-13	0.0026743635247518	0.00267436352475227	-8.67361737988404e-19	1.10729204217631e-05	1.10729204217896e-05	-2.53283328512099e-09	-2.53283329336093e-09	-1.95156391047391e-17	-6.36528281249037e-06	-6.36528281249037e-06	-1.66129471290688e-11	-1.66129146030036e-11	-1.66129271797488e-11	-6.9636137134399e-15	-1.66129414912175e-11	-0.000887337170409814	-0.00123155352948916	-0.000216717709964941	3.85515807384967e-09	-2.05864667758397e-05	-3.56412261249411e-10	-3.56412262116773e-10	0.000281581418775484	0.000281581418778724	-4.33680868994202e-19	-1.82145964977565e-17	-1.82145964977565e-17	-3.38764057204125e-07	-3.38764057205426e-07	-3.38764057172033e-07	0.00152888068441549	0.000773373207895166	0.000773373207895113	-1.99493199737333e-17	-1.73472347597681e-17	0.00028354608587983	0.000283546085879825	1.14587058937976e-05	-1.82145964977565e-17	-1.73472347597681e-17	-1.99493199737333e-17	-1.73472347597681e-17	-1.99493199737333e-17	-1.73472347597681e-17	8.59450471468147e-05	8.59450471501081e-05	-4.33680868994202e-19	-1.73472347597681e-17	-4.33680868994202e-19	-1.73472347597681e-17	-0.000173921986138058	-0.000218868722811113	-7.70635182551285e-08	-1.21430643318376e-17	-1.42300572206731e-08	-3.38764057169864e-07	-1.21430643318376e-17	-8.24728605595092e-08	-4.2708024616811e-13	8.90260087871297e-15	1.14587059043456e-05
