Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.22885021407345	-1.87493255310311e-07	0.130214107343619	0.000781541172458017	-0.0757804508081781	0.00225460932226834	-0.0741160716172578	-0.010655652541287	0.213519247121015	0.210561876805365	-0.000534395814613398	-2.79257321131321e-06	-0.0238397204066928	-0.00153081804529689	-0.00153081804519609	-0.00012976069167614	-0.0001297606916765	-2.47524002960908e-07	0.169212083347397	-0.178804426349552	-0.17885021407345	-2.77555756156289e-16	-2.77555756156289e-16	-2.77555756156289e-16	-2.77555756156289e-16	-2.77555756156289e-16	2.9654805134699e-05	-1.94289029309402e-16	-1.38777878078145e-16	0.00369441847683064	0.00369441847683061	-1.66533453693773e-16	-2.22044604925031e-16	0.003694418476831	0.00369441847683089	0.00387684510175498	0.000979970393007457	-2.22044604925031e-16	-2.22044604925031e-16	-0.0016382284749249	-0.00163822847492523	2.79896463461493e-05	-1.66533453693773e-16	-1.94289029309402e-16	-2.77555756156289e-16	-2.77555756156289e-16	-2.77555756156289e-16	-1.94289029309402e-16	-1.87493255338067e-07	4.69704930150527e-06	-0.00096409526504046	-0.000964095265040515	4.69704930139425e-06	0.000364067135544099	-1.11022302462516e-16	-1.94289029309402e-16	-1.94289029309402e-16	-1.94289029309402e-16	1.04094163844159e-09	1.04094161068602e-09	1.0409417494639e-09	1.04094136088584e-09	1.04094155517487e-09	-1.66533453693773e-16	2.79748414297731e-05	0.236325740568607	0.13021410734338	0.236325740568607	0.154337902311904	0.0679505474342287	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-0.0115462049906794	-0.0115462049906806	0.000118077158042268	0.280545163926976	0.280545163866812	0	0.000781541172458128	0.000781541172457989	-8.47356581698544e-06	-8.473565817263e-06	-1.94289029309402e-16	-0.000534395814613203	-0.000534395814613314	-1.8788364178346e-07	-1.87883641866726e-07	-1.87883641894482e-07	-1.55746082697306e-10	-1.8788364178346e-07	-0.075780450808178	-0.178531311389164	-0.00227241071878795	0.127728503343848	-0.0173050177394522	-0.00316158678233563	-0.00316158678233558	0.00653590473760626	0.00653590473934271	-1.94289029309402e-16	-2.4980018054066e-16	-2.4980018054066e-16	-0.0741160716172579	-0.07411607161726	-0.0741160716172578	0.00225460932225446	9.64844769013595e-06	9.64844769021922e-06	-2.22044604925031e-16	-2.22044604925031e-16	1.3117947506025e-08	1.3117947117447e-08	0.000501941105685799	-1.38777878078145e-16	-1.66533453693773e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	6.16529327590598e-11	6.1652988270211e-11	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	0.213519247120954	0.0110211347051823	-0.17885021407345	-1.66533453693773e-16	2.79748414296899e-05	-0.0741160716172414	-1.38777878078145e-16	0.210561876805365	-2.79257321109116e-06	2.96548051345047e-05	0.000501941105686077
IL1	-1.94289029309402e-16	-0.0500000000000002	4.70397730767402e-08	2.08166817117217e-17	-1.94289029309402e-16	6.24500451351651e-17	-1.94289029309402e-16	-1.73472347597681e-16	2.25431258660258e-08	1.86040787636399e-08	-2.77555756156289e-17	0	-1.94289029309402e-16	-1.94289029309402e-16	-1.94289029309402e-16	6.93889390390723e-18	6.93889390390723e-18	0	1.75100475785506e-10	-1.94289029309402e-16	-1.94289029309402e-16	0	0	0	0	0	0	0	0	1.73472347597681e-16	1.73472347597681e-16	0	0	1.73472347597681e-16	1.73472347597681e-16	1.87350135405495e-16	2.08166817117217e-17	0	0	-9.71445146547012e-17	-9.71445146547012e-17	0	0	0	0	0	0	0	0	0	-6.93889390390723e-17	-6.93889390390723e-17	0	-1.94289029309402e-16	0	0	0	0	-1.94289029309402e-16	-1.94289029309402e-16	-1.94289029309402e-16	-1.94289029309402e-16	-1.94289029309402e-16	-1.94289029309402e-16	0	6.68831317775231e-06	4.70397729171457e-08	6.68831317775231e-06	1.38542927130558e-10	1.64635666211055e-12	0	0	0	-1.31838984174237e-16	-1.31838984174237e-16	0	1.36061117948783e-06	1.36061017274453e-06	0	2.08166817117217e-17	2.08166817117217e-17	0	0	0	-2.77555756156289e-17	-2.77555756156289e-17	0	0	0	0	0	-1.94289029309402e-16	-1.94289029309402e-16	-1.94289029309402e-16	2.66711222551841e-10	-1.94289029309402e-16	-5.55111512312578e-17	-5.55111512312578e-17	2.83106871279415e-15	2.83106871279415e-15	0	0	0	-1.94289029309402e-16	-1.94289029309402e-16	-1.94289029309402e-16	6.24500451351651e-17	0	0	0	0	0	0	1.38777878078145e-17	0	0	0	0	0	0	0	0	0	0	0	0	2.25431257480646e-08	8.81239525796218e-16	-1.94289029309402e-16	-1.94289029309402e-16	0	-1.94289029309402e-16	0	1.86040787636399e-08	0	0	1.38777878078145e-17
IL6	-4.56931853389797e-05	-4.18825873982343e-09	-0.7002306697531	1.04304108139441e-06	-0.000230599632494499	2.50164148440923e-06	-0.00023057438787355	-7.98908595945891e-05	0.00181572895149562	0.00174140866412842	-1.17901655886099e-05	-6.21731429673034e-08	-4.56931853389797e-05	-3.51456706756403e-05	-3.51456706733089e-05	-1.10882414250391e-07	-1.10882414250391e-07	-5.51104850643469e-09	0.000437266000202552	-6.57394588327032e-05	-4.49853524553401e-05	0	0	0	0	0	2.41595234928837e-08	0	0	1.02217164673624e-05	1.02217164673624e-05	0	0	1.02217164673624e-05	1.02217164673624e-05	1.07609413981802e-05	1.46582591031841e-06	0	0	-4.06256325153898e-05	-4.06256325153898e-05	4.16298541194848e-08	0	0	0	0	0	0	-4.18825873982343e-09	1.27777068925639e-08	-2.43981915885039e-05	-2.43981915885039e-05	1.27777068925639e-08	9.91082643508889e-07	0	0	0	0	-1.65618629921482e-10	-1.6561851889918e-10	-1.6561851889918e-10	-1.6561851889918e-10	-1.65618629921482e-10	0	-0.000230669753100265	0.0121940670825265	0.00743451593675359	0.0121940670825263	0.000502190935098179	0.000355185994637464	0	0	0	-5.59711572738486e-05	-5.59711572739596e-05	9.62536733650765e-08	0.00486049120208365	0.00486049104254926	0	1.04304108139441e-06	1.04304108139441e-06	-7.15407921791922e-09	-7.15407921791922e-09	0	-1.17901655886099e-05	-1.17901655886099e-05	-4.19697898657034e-09	-4.19697898657034e-09	-4.19697898657034e-09	-3.58890694940328e-12	-4.19697909759265e-09	-0.000230599632494499	-0.000133814673700217	-0.000230181056306455	0.00187605596584617	-0.000230669753100265	-1.36403720196743e-06	-1.36403720196743e-06	0.000278721764833678	0.000278721764904066	0	0	0	-0.00023057438787355	-0.00023057438787355	-0.00023057438787355	2.50164148429821e-06	1.4466787445766e-07	1.4466787445766e-07	0	0	1.06850084335974e-11	1.06850084335974e-11	5.74251790119717e-07	0	0	0	0	0	0	1.88071780371502e-13	1.88071780371502e-13	0	0	0	0	0.00181572895144833	4.19327293923466e-05	-4.49853524552291e-05	0	-0.000230669753100265	-0.000230574387873328	0	0.00174140866412842	-6.21731429673034e-08	2.41595234928837e-08	5.74251790119717e-07
LPS	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	-0.00293540157287009	-7.63280938453903e-10	0.0184861436118074	0.000103923958480967	-0.402752387932558	0.000283935398073198	-0.352752387932558	-0.0344419387175779	0.0391568629009392	0.0383525165089778	-5.78772383319492e-06	-3.00920033335927e-08	-0.00293540157287014	0.000361601713761206	0.000361601713627757	-2.12408376282225e-06	-2.12408376298878e-06	-2.66718513941555e-09	-0.0109169531274215	-0.0196721971072968	-0.00273314750029019	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	4.83391058403448e-07	-5.55111512312578e-17	-5.55111512312578e-17	0.00673131910578989	0.00673131910578983	0	-1.11022302462516e-16	0.00673131910579	0.00673131910579006	0.00711287881092398	0.000167654188966304	5.55111512312578e-17	5.55111512312578e-17	0.000423942568839597	0.00042394256883943	4.79576502138146e-06	-5.55111512312578e-17	-5.55111512312578e-17	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0	-7.63281049476205e-10	8.25206321347638e-06	0.000259229351651125	0.000259229351650681	8.25206321369842e-06	0.000640502112050134	5.55111512312578e-17	0	0	0	1.71945901961124e-10	1.71946012983426e-10	1.71946124005729e-10	1.71945957472275e-10	1.71946012983426e-10	-1.11022302462516e-16	-4.06393556934281e-06	0.0363838912335178	0.0184861436118303	0.0363838912335178	0.0230628860863024	0.0405908117129514	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0.0320927993619978	0.0320927993619987	1.91954477191114e-06	0.0612962601610937	0.061296260163426	-1.11022302462516e-16	0.000103923958481134	0.000103923958480912	-1.36127642769157e-07	-1.36127642713646e-07	-5.55111512312578e-17	-5.78772383319492e-06	-5.78772383330595e-06	-7.64939778186147e-10	-7.64939667163844e-10	-7.64939722674995e-10	3.57598395339664e-11	-7.64939722674995e-10	-0.00108270917802761	-0.0438695439717951	0.0101727266105965	-0.02866596897023	-0.000222820379949751	-0.000445977624178751	-0.000445977624178751	-0.00347110047393723	-0.00347110047395599	0	-1.11022302462516e-16	-1.11022302462516e-16	-0.352752387932558	-0.352752387932558	-0.352752387932558	0.000283935398106339	-2.2094638909842e-05	-2.2094638909953e-05	-5.55111512312578e-17	-1.66533453693773e-16	2.14023077038661e-10	2.1402302152751e-10	5.94636295348505e-05	0	-2.22044604925031e-16	-5.55111512312578e-17	-1.66533453693773e-16	-5.55111512312578e-17	-1.66533453693773e-16	-2.1437018826731e-11	-2.14370743378822e-11	-5.55111512312578e-17	-1.66533453693773e-16	-5.55111512312578e-17	-1.66533453693773e-16	0.0391568629009384	0.0073494673214724	-0.00273314750029063	-1.11022302462516e-16	-4.0639355692873e-06	-0.352752387932558	5.55111512312578e-17	0.0383525165089776	-3.00920032780816e-08	4.83391058403448e-07	5.9463629534684e-05
IL4	-0	-0	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-0.00701502755082362	-5.4570447161062e-08	0.036606807356088	0.000229379739293822	-0.0230367614922219	0.000655595875605375	-0.767524077237679	-0.0675240772376793	0.059535004561753	0.0587197690604238	-0.000155572324037512	-8.12787292581163e-07	-0.00701502755082373	-0.000445836518937703	-0.000445836518979115	-3.77692717116185e-05	-3.77692717116185e-05	-7.20425693545579e-08	0.0473395974062693	-0.0673510975023793	-0.0066132721409764	0	0	0	0	0	8.63100775438941e-06	-1.11022302462516e-16	-1.11022302462516e-16	0.00107363019887685	0.00107363019887663	0	0	0.00107363019887685	0.00107363019887685	0.00112656124148014	0.000285106469184448	0	0	-0.000477140543376553	-0.000477140543376553	8.14637028012655e-06	-1.11022302462516e-16	1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-5.45704472720843e-08	1.36708680942288e-06	-0.000280716469768016	-0.000280716469768238	1.36708680942288e-06	0.000105946626254405	-1.11022302462516e-16	0	0	0	3.02968983234564e-10	3.02969094256866e-10	3.02969094256866e-10	3.02968872212261e-10	3.02968983234564e-10	0	8.14206136823259e-06	0.0658320313810061	0.036606807355989	0.0658320313810061	0.0432485944771542	0.01934018879795	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-0.00337758970211366	-0.00337758970211377	3.43649913466804e-05	0.0781126614032248	0.0781126613766717	-1.11022302462516e-16	0.000229379739293822	0.000229379739293711	-4.765612597879e-07	-4.76561259676878e-07	0	-0.000155572324037623	-0.000155572324037623	-5.46840703830043e-08	-5.4684070271982e-08	-5.4684070271982e-08	-4.53302950731427e-11	-5.46840703830043e-08	-0.0230367614922219	-0.0668297441556349	-0.000662027177341762	0.0359216006525332	-0.00507585300143187	-0.000921423489743889	-0.000921423489743889	0.00189721519806363	0.00189721519846775	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-0.022501826717392	-0.0225018267173922	-0.0225018267173919	0.000655595875602377	2.80819666809151e-06	2.80819666809151e-06	-1.11022302462516e-16	-1.11022302462516e-16	3.8180156813894e-09	3.8180156813894e-09	0.000146060709033669	0	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	1.7944201680109e-11	1.79443127024115e-11	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0.0595350045617239	0.00319354233506364	-0.00661327214097651	-1.11022302462516e-16	8.14206136823259e-06	-0.0225018267173895	0	0.0587197690604234	-8.12787292470141e-07	8.63100775450043e-06	0.00014606070903378
IL12_mrna	-0.0409038192959151	-3.1928786170532e-07	0.222244662742648	0.00134226631582007	-0.134072197807901	0.00383734267952007	-0.130946468791186	-0.456035102950614	0.374933732524665	0.3692577105745	-0.000910160042238206	-4.75555936624295e-06	-0.0409038192959147	-0.00260788327229566	-0.00260788327257799	-0.000220980477970645	-0.000220980477971255	-4.21516020254753e-07	0.292027090158138	-0.450434615785956	-0.038567334394871	-4.9960036108132e-16	-4.9960036108132e-16	-4.9960036108132e-16	-4.9960036108132e-16	-4.9960036108132e-16	5.04996787144552e-05	-3.33066907387547e-16	-3.33066907387547e-16	0.00628578790554946	0.0062857879055494	-3.33066907387547e-16	-3.88578058618805e-16	0.00628578790555012	0.00628578790554996	0.00659589844604236	0.00166841877347351	-3.88578058618805e-16	-3.88578058618805e-16	-0.00279094337499725	-0.0027909433749978	4.76640708205744e-05	-2.77555756156289e-16	-3.88578058618805e-16	-3.88578058618805e-16	-3.88578058618805e-16	-3.88578058618805e-16	-3.33066907387547e-16	-3.19287861760831e-07	7.99873577256305e-06	-0.00164218379456643	-0.00164218379456699	7.99873577245203e-06	0.000619924914435799	-1.11022302462516e-16	-3.88578058618805e-16	-3.88578058618805e-16	-3.88578058618805e-16	1.77265052636599e-09	1.77265058187714e-09	1.7726507484106e-09	1.77265013778793e-09	1.77265041534369e-09	-2.22044604925031e-16	4.76388594379817e-05	0.419482473920512	0.222244662741996	0.419482473920512	0.265106332632017	0.114974042587045	-3.33066907387547e-16	-3.33066907387547e-16	-3.33066907387547e-16	-0.0197259907393711	-0.0197259907393721	0.000201071217685478	0.510303642491306	0.510303642278169	0	0.00134226631582018	0.00134226631581985	-2.78832583855415e-06	-2.78832583894273e-06	-3.33066907387547e-16	-0.000910160042237873	-0.000910160042238095	-3.19952662586331e-07	-3.19952662697354e-07	-3.19952662752865e-07	-2.6522462004408e-10	-3.19952662586331e-07	-0.134072197807901	-0.440907505760501	-0.00387199384265924	0.217878592289023	-0.0296206472224226	-0.00538833322791282	-0.00538833322791277	0.0111133598745607	0.0111133598769039	-3.33066907387547e-16	-4.44089209850063e-16	-4.44089209850063e-16	-0.130946468791186	-0.130946468791188	-0.130946468791186	0.00383734267950309	1.643058946732e-05	1.6430589467431e-05	-2.77555756156289e-16	-3.88578058618805e-16	2.23389434172994e-08	2.23389428066767e-08	0.00085466444888016	-1.66533453693773e-16	-2.77555756156289e-16	-2.77555756156289e-16	-3.88578058618805e-16	-2.77555756156289e-16	-3.88578058618805e-16	1.04990627303181e-10	1.04990682814332e-10	-2.77555756156289e-16	-3.88578058618805e-16	-2.77555756156289e-16	-3.88578058618805e-16	0.374933732524426	0.0187227279416956	-0.0385673343948711	-3.33066907387547e-16	4.76388594378707e-05	-0.130946468791174	-2.22044604925031e-16	0.3692577105745	-4.75555936579886e-06	5.04996787141221e-05	0.000854664448880604
IL10	-0.0100379168836219	-1.05383806403569e-07	0.0166389615630494	0.00031863280169353	-0.066951455821788	0.000903458950423486	-0.0658534362919509	-0.00821675689825402	-0.38642380907498	-0.33642380907498	-0.000296801126170754	-1.54679708069816e-06	-0.0100379168836218	-0.00136931961706988	-0.00136931961694692	-8.7807784179994e-05	-8.78077841799385e-05	-1.37100967412263e-07	0.0940031037418856	-0.207710510015186	-0.00951273260075158	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	2.0070478644052e-05	-5.55111512312578e-17	5.55111512312578e-17	-0.00594592192216647	-0.00594592192216647	1.11022302462516e-16	0	-0.00594592192216642	-0.00594592192216642	-0.00626176134352796	-0.000989244180016446	-1.11022302462516e-16	-1.11022302462516e-16	-0.00149508629901723	-0.00149508629901729	-2.82768041432457e-05	5.55111512312578e-17	-1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-1.05383806570103e-07	-7.35945052848797e-06	-0.00089297086589224	-0.000892970865891796	-7.35945052848797e-06	-0.000571388267797124	2.22044604925031e-16	-5.55111512312578e-17	-5.55111512312578e-17	-5.55111512312578e-17	-1.0104859726745e-09	-1.0104858616522e-09	-1.0104858616522e-09	-1.01048602818565e-09	-1.0104859726745e-09	1.11022302462516e-16	2.85633758559944e-05	0.0831459151427182	0.0166389615628471	0.0831459151427182	0.0617063260531793	-0.0721307493595311	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-0.00597221298512723	-0.00597221298512784	7.99071879905022e-05	0.124784517851177	0.124784517816333	0	0.000318632801693752	0.000318632801693586	-7.68505601322911e-07	-7.68505601433933e-07	-5.55111512312578e-17	-0.000296801126170587	-0.000296801126170698	-1.05603133238041e-07	-1.05603133349064e-07	-1.05603133404575e-07	-1.38264732996163e-10	-1.05603133460086e-07	-0.0669514558217879	-0.067093285003608	-0.0289475882729643	0.1044377040308	-0.0107725818125027	-0.000247304773877577	-0.000247304773877466	0.0116723262557789	0.0116723262561423	1.11022302462516e-16	-5.55111512312578e-17	-5.55111512312578e-17	-0.065853436291951	-0.0658534362919518	-0.065853436291951	0.000903458950409053	9.56999072859732e-06	9.56999072854181e-06	5.55111512312578e-17	-5.55111512312578e-17	8.87856810294352e-09	8.87856821396582e-09	0.000202035135898115	5.55111512312578e-17	-5.55111512312578e-17	5.55111512312578e-17	-5.55111512312578e-17	5.55111512312578e-17	-5.55111512312578e-17	4.47961112648443e-11	4.47960557536931e-11	5.55111512312578e-17	-5.55111512312578e-17	5.55111512312578e-17	-5.55111512312578e-17	0.0839011198378775	-0.0115778863607159	-0.00951273260075075	1.11022302462516e-16	2.856337585605e-05	-0.0658534362919337	0	-0.33642380907498	-1.5467970804206e-06	2.0070478643941e-05	0.000202035135898226
IL10_mrna	-0.0180019390582948	-1.89914870163399e-07	0.0302426195284142	0.000574307034663102	-0.117320468066605	0.00162887640834986	-0.115439475784187	-0.0147486284736924	0.158809688275085	-0.726969264543293	-0.000534794458704968	-2.78752084337253e-06	-0.0180019390582947	-0.00246601940806845	-0.00246601940821511	-0.000158233800324648	-0.00015823380032487	-2.47073178361035e-07	0.179166997705024	-0.358037601801874	-0.0170643181607357	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	3.61698873748706e-05	-1.11022302462516e-16	0	-0.0106842270468336	-0.0106842270468336	1.11022302462516e-16	0	-0.0106842270468334	-0.0106842270468334	-0.0112500479468426	-0.00178187172537492	-2.22044604925031e-16	-2.22044604925031e-16	-0.00269234716595901	-0.00269234716595912	-5.09576460611116e-05	-1.11022302462516e-16	-2.22044604925031e-16	0	0	0	0	-1.89914870274421e-07	-1.32626076038145e-05	-0.00160853616885992	-0.00160853616885992	-1.32626076038145e-05	-0.00102942275015305	1.11022302462516e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-1.82102288803776e-09	-1.82102277701546e-09	-1.82102266599315e-09	-1.82102311008236e-09	-1.82102288803776e-09	0	5.14755252979393e-05	0.157300166752552	0.0302426195278422	0.157300166752552	0.115123600746879	-0.12617906151328	0	0	0	-0.0107313335204196	-0.0107313335204199	0.000144008504296744	0.243234383116751	0.243234383003769	-1.11022302462516e-16	0.000574307034663324	0.000574307034663213	-1.38494327017735e-06	-1.38494327051042e-06	-1.11022302462516e-16	-0.000534794458704857	-0.000534794458704968	-1.90310124770221e-07	-1.90310124881243e-07	-1.90310124881243e-07	-2.49170573063395e-10	-1.90310124992266e-07	-0.117320468066605	-0.117563354889308	-0.0514731226915582	0.20052951185287	-0.0193127856480583	-0.000445619801557329	-0.000445619801557107	0.0211600344241508	0.0211600344247178	0	-2.22044604925031e-16	-2.22044604925031e-16	-0.115439475784188	-0.115439475784189	-0.115439475784187	0.00162887640833187	1.72464092073055e-05	1.72464092073055e-05	-1.11022302462516e-16	-2.22044604925031e-16	1.60002969762374e-08	1.60002968652151e-08	0.000364129164877824	0	-1.11022302462516e-16	-1.11022302462516e-16	-2.22044604925031e-16	-1.11022302462516e-16	-2.22044604925031e-16	8.07282019010813e-11	8.07280908787789e-11	-1.11022302462516e-16	-2.22044604925031e-16	-1.11022302462516e-16	-2.22044604925031e-16	0.158809688275	-0.0207486551313201	-0.0170643181607347	0	5.14755252978283e-05	-0.115439475784169	0	0.155902148657193	-2.78752084315048e-06	3.61698873746485e-05	0.000364129164878046
