Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.494198195181942	-2.18758724468415e-08	-0.0012366173147087	0.000163026225348084	-0.444195335187426	0.000100666583167874	-0.00708582510243405	-0.00708556176056124	0.0276965802485583	0.0276845110868734	-0.00983869600388221	-0.0097402558985562	-0.0311241019554405	-0.00835667938792045	-0.00835667938792045	-0.00129535720075252	-0.00129535720075258	-0.000942737177743902	0.014874753565195	-0.184616031522284	-0.444198195181942	1.66533453693773e-16	1.66533453693773e-16	1.66533453693773e-16	1.66533453693773e-16	1.66533453693773e-16	0.00025021118771873	1.11022302462516e-16	2.77555756156289e-16	0.00623338497239073	0.00623338497239073	1.11022302462516e-16	1.11022302462516e-16	0.00623338497592824	0.00623338497724063	0.00978148714689236	0.000756166546294013	1.66533453693773e-16	1.66533453693773e-16	-0.00674930171634275	-0.00674930171634314	6.60577338037482e-05	1.66533453693773e-16	5.55111512312578e-17	1.66533453693773e-16	1.66533453693773e-16	1.66533453693773e-16	2.77555756156289e-16	-2.18758724468415e-08	2.39253061806721e-14	-2.80517656325863e-08	-2.80517656880974e-08	2.38697950294409e-14	0.00436190006665343	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	2.14132729307592e-05	2.14132729307592e-05	2.14132729305927e-05	2.14132729307037e-05	2.14132729309258e-05	-1.9608420442907e-10	-0.000977263460869571	0.000608006452266552	-0.0012366173147087	0.000608006452266607	0.000111965673719239	0.0110212604575782	1.66533453693773e-16	1.66533453693773e-16	1.66533453693773e-16	0.00564192246596862	0.00564192246596723	0.000192848192321016	0.0276408494402468	0.027640849440247	5.55111512312578e-17	0.00016302622534814	0.000163026225348084	-1.08373211143986e-06	-1.08373211143986e-06	1.66533453693773e-16	-0.00983869600388226	-0.00983869600387971	-2.19208991514286e-08	-2.1920899317962e-08	-2.19208992624509e-08	-5.94111426721611e-11	-2.19208992069397e-08	-0.444195335187674	-0.101042972036367	-0.133481751536325	0.000214731458738127	-0.192049958920953	-0.0511684874685883	-0.0511684927394643	0.0296180576459762	0.0296190777785907	2.77555756156289e-16	1.66533453693773e-16	1.66533453693773e-16	-0.00708582509706607	-0.00708582509708217	-0.00708582509797323	0.000100666583171594	1.93531887271448e-06	1.93531887243692e-06	1.66533453693773e-16	5.55111512312578e-17	1.34007941965386e-08	1.34007942520498e-08	1.99007118694139e-05	1.66533453693773e-16	1.11022302462516e-16	1.66533453693773e-16	5.55111512312578e-17	1.66533453693773e-16	5.55111512312578e-17	4.19862478118205e-11	4.19864698564254e-11	1.66533453693773e-16	5.55111512312578e-17	1.66533453693773e-16	5.55111512312578e-17	0.0276965802485555	0.00301353911416036	-0.444198195181942	-1.9608420442907e-10	-0.000977263460870181	-0.00708582509706535	-5.55111512312578e-17	0.0276845110868733	-0.00974025589855548	0.000250211187718008	1.99007118693029e-05
IL1	-7.56390571285473e-05	-0.0500756390571286	-1.74338717195965e-06	5.17704020361331e-07	-7.56390571285473e-05	2.79265278423091e-07	-2.24569610816142e-05	-2.24562698783737e-05	0.000175116212243261	0.000175038497257383	-3.52912280864523e-05	-3.50362576007485e-05	-7.56390571285473e-05	-7.56390571285473e-05	-7.56390571285473e-05	-4.83682572570421e-06	-4.83682572570421e-06	-4.42163907736493e-06	1.99682320109265e-05	-7.55936519195727e-05	-7.56390571285473e-05	0	0	0	0	0	3.11951385320586e-07	0	0	8.44733834724914e-05	8.44733834724914e-05	0	0	8.4473383481401e-05	8.44733834894779e-05	0.000177501806180383	-2.28951873276137e-05	0	0	-2.26071486318438e-05	-2.26071486318438e-05	2.2634731212251e-07	0	0	0	0	0	0	-1.07791581216432e-10	-1.06165076729781e-15	-1.0720943577347e-10	-1.0720943577347e-10	-1.06165076729781e-15	-7.56390571285473e-05	0	0	0	0	-7.56390571286306e-05	-7.56390571285195e-05	-7.56390571286306e-05	-7.56390571278256e-05	-7.56390571285473e-05	-7.56390571285473e-05	-9.79582351880171e-07	4.24335747736121e-06	-1.74338717195965e-06	4.24335747736121e-06	3.54953335821029e-07	0.000220012314266972	0	0	0	0.000386536310820987	0.000386536310774788	2.40365230955164e-07	0.000165923734290196	0.000165923734290196	0	5.17704020361331e-07	5.17704020354393e-07	-3.18806975957431e-09	-3.18806975957431e-09	0	-3.52912280864523e-05	-3.52912280864731e-05	-1.08009615140681e-10	-1.08009615140681e-10	-1.08009615140681e-10	-2.32207308936694e-12	-1.08009615140681e-10	-7.56390571285473e-05	-7.39597646705545e-05	-7.56390571052742e-05	8.98859077308467e-07	-7.56390571285473e-05	-5.90518768139453e-05	-5.90517617726147e-05	0.000315495962550448	0.000315491576369863	0	0	0	-2.24569610463368e-05	-2.24569610463438e-05	-2.24569610511316e-05	2.79265278409213e-07	-3.35987948157923e-08	-3.35987948157923e-08	0	0	6.52304321668851e-11	6.52304252279912e-11	5.13459078588241e-08	0	0	0	0	0	0	1.8627460685039e-13	1.8627460685039e-13	0	0	0	0	0.000175116212243726	3.03554670864417e-05	-7.56390571285473e-05	-7.56390571285473e-05	-9.79582351887109e-07	-2.24569610480438e-05	0	0.000175038497257432	-3.50362576007485e-05	3.11951385327525e-07	5.13459078588241e-08
IL6	-0.0185000040079368	-3.37436490693843e-08	-0.138257771558525	8.54969645198156e-05	-0.0882577274963025	5.4472265330785e-05	-0.0078172458239209	-0.00781697910302231	0.0233102031322067	0.0232959362262257	-0.0134921407541658	-0.0133715644343903	-0.018500004007933	-0.0132965664552021	-0.013296566455202	-0.00141680122201476	-0.0014168012220149	-0.00143549238508228	-0.000631696710145041	-0.00300502242788084	-0.0184106630826022	2.77555756156289e-17	2.77555756156289e-17	2.77555756156289e-17	2.77555756156289e-17	2.77555756156289e-17	-1.21774825045384e-05	5.55111512312578e-17	2.77555756156289e-17	0.00969085073078371	0.00969085073078366	5.55111512312578e-17	8.32667268468867e-17	0.00969085073313472	0.00969085073418838	0.0165523196500256	0.000431378214885231	-2.77555756156289e-17	-2.77555756156289e-17	-0.0100184508728159	-0.0100184508728161	3.73668795718984e-05	2.77555756156289e-17	-5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	-3.37436490971399e-08	1.42941214420489e-14	-4.47751932197704e-08	-4.47751933030371e-08	1.42663658664333e-14	0.00348251522753038	-5.55111512312578e-17	2.77555756156289e-17	2.77555756156289e-17	2.77555756156289e-17	-0.00209595151587069	-0.00209595151587061	-0.00209595151587072	-0.00209595151587069	-0.00209595151587061	-3.02562391807371e-10	-0.0882577715585249	0.000835687444194322	-0.000143169200054138	0.000835687444194377	5.86887951987136e-05	0.0181633314301314	8.32667268468867e-17	8.32667268468867e-17	8.32667268468867e-17	0.0114489697839165	0.0114489697838865	-9.39029764734922e-06	0.0225961029292474	0.0225961029292476	2.77555756156289e-17	8.54969645198156e-05	8.54969645198156e-05	-6.12615594780541e-07	-6.12615594780541e-07	2.77555756156289e-17	-0.0134921407541658	-0.0134921407541648	-3.38130490551425e-08	-3.38130490828981e-08	-3.38130490551425e-08	-1.20266602232633e-10	-3.38130490273869e-08	-0.0882577274963025	-0.0233195756781169	-0.0881450323868765	0.000304207447156951	-0.0882577715585249	0.00375764307344423	0.00375765825462016	0.092972126174476	0.0929721422853228	5.55111512312578e-17	8.32667268468867e-17	8.32667268468867e-17	-0.00781724581380869	-0.00781724581381424	-0.00781724581426571	5.44722653336438e-05	2.72797764769295e-06	2.72797764758193e-06	5.55111512312578e-17	2.77555756156289e-17	3.56464857631522e-11	3.56465412743034e-11	1.09142382380134e-05	1.11022302462516e-16	8.32667268468867e-17	5.55111512312578e-17	2.77555756156289e-17	5.55111512312578e-17	2.77555756156289e-17	1.25791044247592e-12	1.25791044247592e-12	5.55111512312578e-17	2.77555756156289e-17	5.55111512312578e-17	2.77555756156289e-17	0.0233102031322059	0.00422646499201423	-0.0184106630826023	-3.02562391807371e-10	-0.0882577715585247	-0.00781724581388923	2.77555756156289e-17	0.0232959362262255	-0.0133715644343915	-1.21774825027066e-05	1.09142382380134e-05
LPS	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	-0.00701566319053992	-2.14005224652425e-09	-0.000543818700970644	7.41325182268548e-05	-0.748023166914109	3.90032419328445e-05	-0.0480231670037448	-0.0480216075132673	0.0191724201509806	0.0191615282078936	-0.00108892839631924	-0.0010769969776171	-0.00701566319054081	0.000748279413085529	0.000748279413085529	-0.000112274562069969	-0.000112274562069969	-9.40444041548361e-05	0.000736689860832085	-0.0272594834696057	-0.00687390549044653	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.22035969297718e-05	0	2.22044604925031e-16	0.00815990124310728	0.00815990124310728	1.11022302462516e-16	1.11022302462516e-16	0.00815990124483978	0.00815990124555965	0.0136676648623087	0.000353137690351391	1.11022302462516e-16	1.11022302462516e-16	0.000928345905316874	0.000928345905316985	3.05873597526984e-05	1.11022302462516e-16	0	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-2.14005224652425e-09	2.77555756156289e-14	4.69364258570693e-09	4.69364269672923e-09	2.77555756156289e-14	0.00547388862144171	1.11022302462516e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	8.86929584487106e-06	8.86929584498208e-06	8.86929584498208e-06	8.86929584498208e-06	8.86929584487106e-06	-1.91368032531614e-11	-0.000431200066845494	0.000284227423564265	-0.000543818700970644	0.000284227423564376	5.05910734787118e-05	0.009611410819237	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.0173805163191576	0.0173805163191576	9.40558735873509e-06	0.0188691491550341	0.0188691491550341	1.11022302462516e-16	7.41325182268548e-05	7.41325182268548e-05	-4.34617235534063e-08	-4.34617235534063e-08	2.22044604925031e-16	-0.00108892839631924	-0.00108892839631891	-2.14448137025869e-09	-2.14448148128099e-09	-2.14448137025869e-09	7.03426206172253e-12	-2.14448148128099e-09	-0.048020714852642	-0.0233740300475541	-0.0158815179317976	1.7113510917155e-05	-0.0307573238569591	-0.0119533321797596	-0.0119533350908697	-0.00519380714180195	-0.00519359509367545	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-0.048023166914109	-0.048023166914109	-0.048023166914109	3.9003241930069e-05	-5.61230722639916e-06	-5.61230722639916e-06	2.22044604925031e-16	1.11022302462516e-16	6.50929532497457e-10	6.50929532497457e-10	7.0891441021903e-06	2.22044604925031e-16	1.11022302462516e-16	2.22044604925031e-16	1.11022302462516e-16	2.22044604925031e-16	1.11022302462516e-16	-3.62265772935189e-13	-3.62265772935189e-13	2.22044604925031e-16	1.11022302462516e-16	2.22044604925031e-16	1.11022302462516e-16	0.0191724201509801	0.00216897903077706	-0.00687390549044675	-1.91368032531614e-11	-0.000431200066845938	-0.048023166914109	1.11022302462516e-16	0.0191615282078937	-0.00107699697761698	1.22035969313261e-05	7.08914410207928e-06
IL4	-0	-0	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-0.0273235900721469	-1.92636235851751e-08	-0.00108880428561642	0.000144153887307319	-0.447703182519241	8.8646720602048e-05	-0.497777489795757	-0.447777489795757	0.0244685162596958	0.0244578167196544	-0.00865485066661675	-0.00856834172066384	-0.0273235900721443	-0.0073522781114877	-0.00735227811148759	-0.00114051576533553	-0.00114051576533564	-0.000830077996843426	0.013120600560403	-0.161410317768955	-0.0268997752042476	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	0.000220338875599246	-5.55111512312578e-17	5.55111512312578e-17	0.00549282495231229	0.00549282495231218	5.55111512312578e-17	5.55111512312578e-17	0.00549282495504677	0.00549282495592074	0.00862286739814266	0.000665925722589111	5.55111512312578e-17	5.55111512312578e-17	-0.00593908398806126	-0.00593908398806114	5.81700428663456e-05	-5.55111512312578e-17	-5.55111512312578e-17	0	0	0	5.55111512312578e-17	-1.92636235851751e-08	2.1094237467878e-14	-2.47020387478258e-08	-2.47020389143593e-08	2.09832151654155e-14	0.00384287783015436	-5.55111512312578e-17	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.88563078603043e-05	1.88563078603043e-05	1.88563078601933e-05	1.88563078602488e-05	1.88563078603043e-05	-1.72669434306272e-10	-0.000860475105108283	0.000535438388977294	-0.00108880428561636	0.000535438388977238	9.85967901794282e-05	0.00971717519626858	0	0	0	0.00497130122416944	0.00497130122416922	0.000169823297136162	0.0244191101323104	0.0244191101323105	-5.55111512312578e-17	0.000144153887307374	0.000144153887307374	-3.5863011021986e-07	-3.58630110275371e-07	-5.55111512312578e-17	-0.00865485066661681	-0.00865485066661598	-1.93032734796539e-08	-1.93032736461873e-08	-1.9303273535165e-08	-5.23167065225039e-11	-1.93032734796539e-08	-0.447703182519332	-0.0883159977835781	-0.116587817520507	0.000189094285125868	-0.167974820161206	-0.0448472680884559	-0.0448472727082804	0.0261724058986693	0.0261735125466656	5.55111512312578e-17	0	0	-0.00623499094251023	-0.00623499094251706	-0.00623499094281782	8.86467206043795e-05	1.70421828604717e-06	1.70421828588063e-06	0	0	1.18005739624394e-08	1.18005740734617e-08	1.75243592714924e-05	0	0	0	0	0	0	3.69725916549157e-11	3.6972647166067e-11	0	0	0	0	0.0244685162596949	0.00265456134167574	-0.0268997752042477	-1.72669378795121e-10	-0.000860475105108616	-0.00623499094246527	0	0.0244578167196544	-0.00856834172066445	0.000220338875599635	1.75243592713814e-05
IL12_mrna	-0.0630513750539213	-4.53988240334269e-08	-0.00256378578970717	0.000339768147455288	-0.933059208065234	0.00020892954033902	-0.0146220448075596	-0.934403256919433	0.0588248855089526	0.0587986378274377	-0.0202586708853868	-0.0200575288074539	-0.0630513750539157	-0.0172271987938886	-0.0172271987938887	-0.00268543986550718	-0.00268543986550729	-0.00195496857647026	0.031249484305053	-0.341660498398044	-0.0620931048778175	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	0.000519366210937622	1.11022302462516e-16	2.22044604925031e-16	0.0130018668406475	0.0130018668406473	2.22044604925031e-16	3.33066907387547e-16	0.0130018668468243	0.0130018668487922	0.0204623716155736	0.00157022547234609	2.22044604925031e-16	2.22044604925031e-16	-0.0139313248308208	-0.0139313248308208	0.000137096401810921	1.11022302462516e-16	0	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	3.33066907387547e-16	-4.53988240334269e-08	4.96269692007445e-14	-5.82156056694316e-08	-5.82156060024985e-08	4.9515946898282e-14	0.00908432223824607	1.11022302462516e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	4.44395637115846e-05	4.44395637115846e-05	4.44395637113626e-05	4.44395637113626e-05	4.44395637116957e-05	-4.06932154639605e-10	-0.00202650992170461	0.00126241084983569	-0.00256378578970717	0.00126241084983569	0.000232382479049664	0.0230796143428075	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.0117624662071987	0.0117624662071995	0.000400278643737373	0.0587036883535037	0.0587036883535038	1.11022302462516e-16	0.000339768147455399	0.000339768147455399	-8.45187870357478e-07	-8.45187870246455e-07	1.11022302462516e-16	-0.0202586708853868	-0.0202586708853852	-4.54922677306513e-08	-4.54922680637182e-08	-4.54922678416736e-08	-1.23295595955142e-10	-4.5492267619629e-08	-0.933059208065464	-0.195267630200539	-0.253216617858268	0.000445707761480452	-0.35431371405463	-0.102164191974098	-0.102164204552047	0.0630112745169658	0.063013738536978	3.33066907387547e-16	2.22044604925031e-16	2.22044604925031e-16	-0.0146220447953042	-0.0146220447953183	-0.0146220447959642	0.000208929540344127	4.01635819125001e-06	4.01635819102797e-06	1.11022302462516e-16	1.11022302462516e-16	2.7810562186481e-08	2.78105622975033e-08	4.13004530457339e-05	2.22044604925031e-16	2.22044604925031e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	8.71337446639586e-11	8.71338556862611e-11	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.0588248855089505	0.00626926353646984	-0.0620931048778177	-4.06932154639605e-10	-0.0020265099217055	-0.0146220447952213	1.11022302462516e-16	0.0587986378274377	-0.0200575288074558	0.000519366210938843	4.13004530454009e-05
IL10	-0.0171957343367332	-1.2535250448753e-08	-0.000913483667500103	7.66262985934518e-05	-0.444148172489805	4.74591930537116e-05	-0.00473157912572297	-0.00473140610967276	-0.494151816034042	-0.444151816034042	-0.00529656216291108	-0.00524644176918238	-0.0171957343367302	-0.00752451969502904	-0.00752451969502921	-0.000964902856870675	-0.000964902856870342	-0.000535819451092878	0.0164525048831034	-0.363218283503432	-0.0170113244285093	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.000305970421736634	1.11022302462516e-16	1.66533453693773e-16	-0.00407301482964206	-0.00407301482964206	1.66533453693773e-16	5.55111512312578e-17	-0.00407301483064959	-0.00407301483083267	-0.00660640303313426	-0.00365831642037029	0	0	-0.00615129738112369	-0.00615129738112413	-0.000316909768691975	5.55111512312578e-17	0	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	5.55111512312578e-17	-1.25352505042642e-08	-1.5709655798446e-14	-2.62141929274762e-08	-2.62141930384985e-08	-1.5709655798446e-14	-0.0030474925164119	0	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-0.000198177788543974	-0.000198177788543863	-0.000198177788543918	-0.000198177788543974	-0.000198177788543863	-1.12436948640493e-10	-0.000786646275674319	-6.05508747249517e-05	-0.000913483667500159	-6.05508747248962e-05	5.24031962915728e-05	-0.00660733107802253	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	0.00509478042038347	0.00509478042038081	0.00023592110135473	0.023973561363448	0.023973561363448	1.11022302462516e-16	7.66262985933408e-05	7.66262985935073e-05	-2.43292397783534e-07	-2.43292397728023e-07	5.55111512312578e-17	-0.00529656216291102	-0.00529656216290997	-1.25610103429707e-08	-1.25610101764373e-08	-1.25610102319484e-08	-5.5909665785947e-11	-1.25610101764373e-08	-0.44414817249054	-0.0371523222893684	-0.112731005145211	0.000149396835527227	-0.078236499740002	0.00335673115588253	0.00335673704829392	0.0275062660436735	0.0275067625315104	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	-0.00473157912144428	-0.00473157912145289	-0.00473157912180283	4.74591930563206e-05	1.25747741880344e-06	1.25747741902549e-06	-5.55111512312578e-17	-1.11022302462516e-16	1.6490373289102e-08	1.64903732335908e-08	9.40772215785035e-06	1.11022302462516e-16	1.11022302462516e-16	-5.55111512312578e-17	-1.11022302462516e-16	-5.55111512312578e-17	-1.11022302462516e-16	5.11932163327344e-11	5.11932163327344e-11	-5.55111512312578e-17	-1.11022302462516e-16	-5.55111512312578e-17	-1.11022302462516e-16	0.0239029245861622	-0.00167245138282601	-0.0170113244285092	-1.12436893129342e-10	-0.00078664627567443	-0.00473157912140615	1.66533453693773e-16	-0.444151816034042	-0.00524644176918282	0.000305970421735524	9.40772215801688e-06
IL10_mrna	-0.0352016171358329	-2.60118013795108e-08	-0.00189416761361538	0.000159016476662277	-0.932763436653943	9.84859784654013e-05	-0.00978126721241601	-0.0097809108965371	0.0505969238676287	-0.934308416126794	-0.0109442900188773	-0.010841158842391	-0.0352016171358295	-0.0155204441682585	-0.0155204441682586	-0.00200070580925915	-0.00200070580925904	-0.00111139444082597	0.0346065060642679	-0.655331536660391	-0.0348290679120468	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	0.000635073728591395	2.22044604925031e-16	3.33066907387547e-16	-0.00842428875182644	-0.00842428875182655	2.22044604925031e-16	2.22044604925031e-16	-0.00842428875345025	-0.00842428875340662	-0.0136366106892062	-0.00756906854977013	1.11022302462516e-16	1.11022302462516e-16	-0.012701792824505	-0.012701792824505	-0.000657448917910308	3.33066907387547e-16	1.11022302462516e-16	4.44089209850063e-16	4.44089209850063e-16	4.44089209850063e-16	2.22044604925031e-16	-2.60118014905331e-08	-3.24185123190546e-14	-5.43968685651208e-08	-5.43968687871654e-08	-3.26405569239796e-14	-0.00630835438113375	2.22044604925031e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	-0.000411171452399439	-0.000411171452399217	-0.000411171452399439	-0.000411171452399328	-0.000411171452399217	-2.33317032360958e-10	-0.00163132867589721	-0.000125642514469337	-0.00189416761361538	-0.000125642514469226	0.000108746068454235	-0.013638516265765	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.0106159830867265	0.0106159830867246	0.000489651309522943	0.0507495176135389	0.0507495176135389	2.22044604925031e-16	0.000159016476662055	0.000159016476662277	-5.04854082317152e-07	-5.04854082317152e-07	1.11022302462516e-16	-0.0109442900188773	-0.0109442900188766	-2.6065255509522e-08	-2.60652553984997e-08	-2.60652553984997e-08	-1.16017528917212e-10	-2.60652552874774e-08	-0.932763436654706	-0.0749224717201087	-0.216333133186247	0.000310049610815599	-0.153359189867959	0.00698450400148554	0.00698451586331561	0.0584054402252584	0.058406652467298	2.22044604925031e-16	1.11022302462516e-16	1.11022302462516e-16	-0.00978126720259653	-0.00978126720260342	-0.00978126720276384	9.84859784691761e-05	2.60938435880931e-06	2.60938435892033e-06	1.11022302462516e-16	0	3.42190472624182e-08	3.42190470403736e-08	1.95220400424079e-05	3.33066907387547e-16	3.33066907387547e-16	1.11022302462516e-16	0	1.11022302462516e-16	0	1.06230579888233e-10	1.06230579888233e-10	1.11022302462516e-16	0	1.11022302462516e-16	0	0.050596923867628	-0.00346581984373173	-0.0348290679120467	-2.33316921338655e-10	-0.00163132867589766	-0.00978126720248884	3.33066907387547e-16	0.0505466036984756	-0.0108411588423929	0.000635073728591506	1.95220400424079e-05
