Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.0637797030810389	-1.42384298795761e-11	-0.0137791486061483	0.000116641293903319	-0.000426979391346755	0.0932125359994423	-1.70202021625154e-06	-1.58059206152583e-06	0.0214416666085145	0.0201857691403505	-3.47696091941574e-06	-2.06001882219198e-13	-0.000690859337141511	1.65171032767697e-07	1.65171032823208e-07	-7.12176620454308e-09	-7.12176621842087e-09	1.38777878078145e-17	0.231735106677056	-0.0137797020046979	-0.0137797030810389	6.93889390390723e-17	6.93889390390723e-17	6.93889390390723e-17	6.93889390390723e-17	6.93889390390723e-17	1.04780906173829e-10	0	2.77555756156289e-17	4.1167730634728e-06	4.11677306351443e-06	0	1.38777878078145e-17	4.11677306344505e-06	4.11677306341729e-06	1.37775704169424e-05	5.78260261785424e-07	2.77555756156289e-17	2.77555756156289e-17	6.21184170365718e-06	6.21184170368494e-06	2.30078445406789e-06	4.16333634234434e-17	2.77555756156289e-17	0	0	0	2.77555756156289e-17	-1.42384992685152e-11	4.59251441944919e-07	6.40979094727878e-06	6.40979094730654e-06	4.59251442028186e-07	5.9203591919188e-07	4.16333634234434e-17	0	0	0	1.38777878078145e-17	4.16333634234434e-17	0	5.55111512312578e-17	5.55111512312578e-17	2.77555756156289e-17	-8.82446157812744e-10	0.151533720644569	-0.0137791486037527	0.151533720644569	0.257342645076127	0.0209043131688532	2.77555756156289e-17	2.77555756156289e-17	2.77555756156289e-17	-0.000452036586224849	-0.000452036587049787	6.4176755160128e-09	0.427272383675041	0.427272383675631	2.77555756156289e-17	0.000116641293903375	0.000116641293903361	-4.83629379176287e-06	-4.83629379181838e-06	5.55111512312578e-17	-3.47696091945737e-06	-3.47696091945737e-06	-1.60373381241641e-11	-1.6037268735225e-11	-1.60373381241641e-11	2.91433543964104e-16	-1.60372964908007e-11	-0.000426979391346727	-0.0137797019443159	1.83327911711662e-05	0.00914477175699903	-9.70461617078033e-06	-5.27711160241973e-07	-5.27711160241973e-07	-0.000885646429987272	-0.00088564573534021	2.77555756156289e-17	2.77555756156289e-17	2.77555756156289e-17	-1.70202021619603e-06	-1.70202021620991e-06	-1.70202021622379e-06	0.0932125359991088	0.0035205930349564	0.00352059303495637	5.55111512312578e-17	2.77555756156289e-17	0.000125937751159572	0.000125937751159585	0.0035213777141592	5.55111512312578e-17	4.16333634234434e-17	5.55111512312578e-17	2.77555756156289e-17	5.55111512312578e-17	2.77555756156289e-17	0.000586382209097264	0.000586382209097236	5.55111512312578e-17	2.77555756156289e-17	5.55111512312578e-17	2.77555756156289e-17	0.0214416666073778	0.00218720279020301	-0.0137797030810389	2.77555756156289e-17	-8.82446143934956e-10	-1.70202021619603e-06	2.77555756156289e-17	0.0201857691404427	-2.05974126643582e-13	1.04780892296041e-10	0.00352137771379266
IL1	0	-0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.93889390390723e-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.93889390390723e-18	0	0	0	0	0	0	0	9.46601175916273e-09	9.46601174528494e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL6	-2.51838871978549e-09	-1.90514271025677e-13	-0.700000068120606	6.52185749849821e-10	-1.02908381816036e-08	3.90127258276252e-08	-6.08599837192969e-11	-5.65224533843889e-11	1.50397296616589e-07	1.39465553550266e-07	-3.85301844874064e-08	-2.55351295663786e-15	-2.51838871978549e-09	-2.64613875256003e-09	-2.64613875256003e-09	4.32986979603811e-15	4.32986979603811e-15	0	8.58336222397948e-06	2.0677284773285e-08	-1.55284740621653e-09	0	0	0	0	0	1.11022302462516e-16	0	0	2.5323521057885e-11	2.5323521057885e-11	0	0	2.5323521057885e-11	2.5323521057885e-11	8.48950909571045e-11	3.1309399517454e-12	0	0	-6.50880160879552e-08	-6.50880160879552e-08	1.24570354032016e-11	0	0	0	0	0	0	-1.90514271025677e-13	2.82385226313409e-12	-6.50853472228263e-08	-6.50853472228263e-08	2.82385226313409e-12	3.64031027544343e-12	0	0	0	0	0	0	0	0	0	0	-6.81206061559081e-08	1.16142162365218e-06	4.80040075467869e-08	1.16142162365218e-06	1.00191082963441e-05	1.43650669359729e-07	0	0	0	-8.95859386673692e-10	-8.95859608718297e-10	-3.77475828372553e-15	0.00442695394832782	0.00442695394439885	0	6.52185749849821e-10	6.52185749849821e-10	-7.51176898461381e-13	-7.51176898461381e-13	0	-3.85301844874064e-08	-3.85301844874064e-08	-2.14606110660043e-13	-2.14606110660043e-13	-2.14606110660043e-13	0	-2.14606110660043e-13	-1.02908381816036e-08	-2.58692534060856e-09	-1.03082977709335e-08	-4.86735439730879e-08	-6.81206061559081e-08	-6.52811138479592e-14	-6.52811138479592e-14	8.74719017218695e-08	8.74719019439141e-08	0	0	0	-6.08599837192969e-11	-6.08599837192969e-11	-6.08599837192969e-11	3.90127257166029e-08	4.70260794749322e-08	4.70260794749322e-08	0	0	-7.56639195742537e-11	-7.56639195742537e-11	5.38980937658806e-09	0	0	0	0	0	0	6.93306634325097e-09	6.93306634325097e-09	0	0	0	0	1.50397296505567e-07	1.25625264635332e-08	-1.55284740621653e-09	0	-6.81206061559081e-08	-6.08599837192969e-11	0	1.39465553550266e-07	-2.55351295663786e-15	1.11022302462516e-16	5.38980937658806e-09
LPS	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	-7.54597801858742e-06	-1.53078938414097e-13	-9.64464926228176e-05	1.36172668502993e-06	-0.0501041687275946	0.00654093244559247	-0.000104168727594549	-9.67304777014025e-05	0.000450901679307558	0.000410882976304053	-3.74576516679048e-08	-2.22044604925031e-15	-7.54597801858742e-06	2.19945889973205e-09	2.19945889973205e-09	-7.93350454775243e-11	-7.93350454775243e-11	0	0.0572228813257653	-9.67083062574994e-05	-2.89453457032879e-06	0	0	0	0	0	1.16723991583356e-12	0	0	4.96013537465423e-08	4.96013537534812e-08	0	0	4.96013537465423e-08	4.96013537465423e-08	1.66198748742519e-07	6.49924251916456e-09	0	0	8.30711015184504e-08	8.30711015184504e-08	2.5860681339418e-08	0	0	0	0	0	0	-1.53078938414097e-13	5.53146458498466e-09	8.54603667416187e-08	8.54603667416187e-08	5.53146458498466e-09	7.13087445342042e-09	0	0	0	0	0	0	0	0	0	0	-9.66527552437313e-12	0.0232618213153192	-9.64464926009115e-05	0.0232618213153192	0.0753495437126261	0.0004474630493135	0	0	0	-1.43486797472836e-06	-1.43486794672992e-06	7.14916459365611e-11	0.198719715762796	0.198719715763783	0	1.36172668502993e-06	1.36172668502993e-06	-1.14224594366386e-09	-1.14224594366386e-09	0	-3.74576516679048e-08	-3.74576516679048e-08	-1.72410696830383e-13	-1.72410696830383e-13	-1.72410696830383e-13	0	-1.72410696830383e-13	-4.69816057752093e-06	-9.6794283923847e-05	2.1175698343423e-07	0.000129982449298953	-1.04421132067489e-07	-5.88215599145459e-09	-5.88215599145459e-09	-6.32350713944407e-06	-6.3235020000274e-06	0	0	0	-0.000104168727594549	-0.000104168727594549	-0.000104168727594549	0.00654093244529907	2.38086969401863e-05	2.38086969401932e-05	0	0	1.40868600886912e-06	1.40868600886912e-06	4.29572286107516e-05	0	0	0	0	0	0	4.08236711002541e-06	4.08236711002541e-06	0	0	0	0	0.000450901678926099	2.70746366124869e-05	-2.89453457032879e-06	0	-9.66526858547923e-12	-0.000104168727594549	0	0.000410882976330705	-2.22044604925031e-15	1.16723991583356e-12	4.29572285527841e-05
IL4	-0	-0	-0	-0	-0	-0.7	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-0.00118177782795427	-2.41850706128588e-11	-0.0325537662042331	0.000205942994747507	-0.000728400621382963	0.11228363112705	-0.0825761175413966	-0.0325761175413966	0.0315189463387074	0.0298544985867886	-5.90609251215068e-06	-3.49900663998426e-13	-0.00118177782795435	2.8055530347515e-07	2.80555303558416e-07	-1.20968712546965e-08	-1.20968713102076e-08	2.77555756156289e-17	0.241354605901567	-0.0325761028487998	-0.000444993801966234	9.71445146547012e-17	9.71445146547012e-17	9.71445146547012e-17	9.71445146547012e-17	9.71445146547012e-17	1.77978493054454e-10	-1.38777878078145e-17	4.16333634234434e-17	6.99236911248791e-06	6.99236911252954e-06	0	2.77555756156289e-17	6.99236911244627e-06	6.99236911236301e-06	2.33990417321667e-05	9.82214069508713e-07	6.93889390390723e-17	6.93889390390723e-17	1.0550637251916e-05	1.05506372519437e-05	3.90797023698541e-06	9.71445146547012e-17	8.32667268468867e-17	2.77555756156289e-17	2.77555756156289e-17	2.77555756156289e-17	8.32667268468867e-17	-2.41851816351613e-11	7.80070489009299e-07	1.08868268688667e-05	1.08868268688944e-05	7.80070489120321e-07	1.00561281435319e-06	5.55111512312578e-17	2.77555756156289e-17	2.77555756156289e-17	2.77555756156289e-17	2.77555756156289e-17	8.32667268468867e-17	1.38777878078145e-17	8.32667268468867e-17	9.71445146547012e-17	6.93889390390723e-17	-1.49890297396205e-09	0.168698961230853	-0.0325537662013678	0.168698961230854	0.26395191651489	0.0308087172890387	4.16333634234434e-17	4.16333634234434e-17	4.16333634234434e-17	-0.000771344796777679	-0.00077134480269804	1.09009172383212e-08	0.412431885471672	0.412431885471115	5.55111512312578e-17	0.000205942994747549	0.000205942994747535	-1.73651698812116e-07	-1.73651698867627e-07	1.2490009027033e-16	-5.9060925122062e-06	-5.90609251222007e-06	-2.72406264212322e-11	-2.72405570322931e-11	-2.724064029902e-11	5.41233724504764e-16	-2.72405709100809e-11	-0.000728400621382908	-0.0325760979740058	3.1133950781928e-05	0.0144134448962492	-1.64856428608862e-05	-8.96362935196016e-07	-8.96362935140504e-07	-0.00151806689746338	-0.00151806587430853	8.32667268468867e-17	4.16333634234434e-17	4.16333634234434e-17	-2.89106217497836e-06	-2.89106217499224e-06	-2.89106217502e-06	0.112283631126706	0.0057898053898247	0.00578980538982463	9.71445146547012e-17	4.16333634234434e-17	0.000213646359162378	0.000213646359162462	0.00579105746069321	8.32667268468867e-17	5.55111512312578e-17	9.71445146547012e-17	4.16333634234434e-17	9.71445146547012e-17	4.16333634234434e-17	0.000990274334713076	0.00099027433471309	9.71445146547012e-17	4.16333634234434e-17	9.71445146547012e-17	4.16333634234434e-17	0.0315189463379179	0.00363895907790093	-0.000444993801966206	6.93889390390723e-17	-1.49890298783983e-09	-2.89106217497836e-06	6.93889390390723e-17	0.0298544985868517	-3.49845152847195e-13	1.7797845142109e-10	0.005791057460482
IL12_mrna	-0.0028251398069333	-5.75628572585529e-11	-0.10507594591587	0.00048979623649964	-0.00173834130108849	0.223663681070327	-6.88108864181636e-06	-0.105645767790569	0.0689992097213414	0.0655712671184805	-1.40573922192272e-05	-8.32819924134753e-13	-0.0028251398069335	6.67748865201823e-07	6.67748865368356e-07	-2.87917591296205e-08	-2.87917592545206e-08	6.93889390390723e-17	0.463182110098193	-0.105642728796415	-0.00106086710910799	2.4980018054066e-16	2.4980018054066e-16	2.4980018054066e-16	2.4980018054066e-16	2.4980018054066e-16	4.23606497101936e-10	-1.38777878078145e-17	9.71445146547012e-17	1.66421084124707e-05	1.6642108412554e-05	-1.38777878078145e-17	5.55111512312578e-17	1.66421084123874e-05	1.6642108412207e-05	5.5687277616262e-05	2.33775885445653e-06	1.2490009027033e-16	1.2490009027033e-16	2.51105967730841e-05	2.51105967731535e-05	9.30122507841746e-06	1.94289029309402e-16	1.80411241501588e-16	4.16333634234434e-17	4.16333634234434e-17	4.16333634234434e-17	1.66533453693773e-16	-5.75631209365213e-11	1.8566401148723e-06	2.59106987195723e-05	2.59106987196278e-05	1.85664011514985e-06	2.39344979109657e-06	1.38777878078145e-16	6.93889390390723e-17	6.93889390390723e-17	6.93889390390723e-17	9.71445146547012e-17	1.94289029309402e-16	4.16333634234434e-17	2.22044604925031e-16	1.80411241501588e-16	9.71445146547012e-17	-3.56753834807044e-09	0.327247910943873	-0.105075945900994	0.327247910943873	0.506821709358048	0.0675386022182719	9.71445146547012e-17	9.71445146547012e-17	9.71445146547012e-17	-0.00184112361867232	-0.0018411236353979	2.59452671985683e-08	0.822244888274378	0.822244888272191	1.11022302462516e-16	0.000489796236499779	0.000489796236499737	-4.1330859291977e-07	-4.13308593100181e-07	2.63677968348475e-16	-1.40573922193798e-05	-1.40573922193937e-05	-6.48354425702991e-11	-6.48352205256941e-11	-6.48354564480869e-11	1.23512311489549e-15	-6.48352621590575e-11	-0.00173834130108838	-0.105642038626006	7.40934564774504e-05	0.0328033886119785	-3.92398408023409e-05	-2.13344002189531e-06	-2.13344002183979e-06	-0.00363370113263738	-0.00363369877489204	1.66533453693773e-16	9.71445146547012e-17	9.71445146547012e-17	-6.88108864160819e-06	-6.88108864160819e-06	-6.88108864170534e-06	0.223663681069687	0.0135107727792459	0.0135107727792458	1.94289029309402e-16	8.32667268468867e-17	0.000508102965185761	0.000508102965185955	0.0135136407030225	1.80411241501588e-16	1.2490009027033e-16	1.94289029309402e-16	8.32667268468867e-17	1.94289029309402e-16	8.32667268468867e-17	0.00234852591254553	0.0023485259125456	1.94289029309402e-16	8.32667268468867e-17	1.94289029309402e-16	8.32667268468867e-17	0.0689992097202662	0.00855147861346515	-0.00106086710910792	9.71445146547012e-17	-3.56753836194823e-09	-6.88108864159431e-06	9.71445146547012e-17	0.0655712671185768	-8.32695024044483e-13	4.23606441590785e-10	0.0135136407026904
IL10	-0.000354839677280339	-3.08563175011045e-11	-0.224055170320522	6.27644616887912e-05	-0.000439426347409344	0.0477528102810423	-2.11200843303061e-06	-1.96139676278406e-06	-0.274058309383081	-0.224058309383081	-6.44804039229285e-06	-3.77586850675016e-13	-0.000354839677280339	-5.07679513556125e-06	-5.07679513550574e-06	-1.19409958032612e-08	-1.19409958587724e-08	0	0.17538911342982	-0.0447099765369332	-0.000135350014954572	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	1.75685244130364e-10	5.55111512312578e-17	1.11022302462516e-16	-5.22212843633851e-05	-5.22212843638292e-05	1.66533453693773e-16	1.66533453693773e-16	-5.22212843633296e-05	-5.22212843633851e-05	-0.000174956826604067	-6.61320089051509e-06	0	0	-0.000189845638708552	-0.000189845638708497	-2.63117470987728e-05	5.55111512312578e-17	0	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	-3.08567060791631e-11	-5.82420243067094e-06	-0.000192351821110937	-0.000192351821110659	-5.82420243067094e-06	-7.50822849776567e-06	5.55111512312578e-17	1.66533453693773e-16	1.66533453693773e-16	1.66533453693773e-16	1.11022302462516e-16	0	0	5.55111512312578e-17	1.66533453693773e-16	1.11022302462516e-16	-8.71029914861765e-11	-0.0421850386835451	-0.224055177335184	-0.0421850386835448	0.129833916576628	-0.188747760741072	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	-0.000287522526201789	-0.000287522525202422	1.07604513077675e-08	0.221849484222132	0.221849484222489	1.11022302462516e-16	6.27644616888468e-05	6.27644616889023e-05	-5.32210135406608e-08	-5.32210134851496e-08	0	-6.44804039229285e-06	-6.44804039212632e-06	-3.47539219625048e-11	-3.47538109402024e-11	-3.47539774736561e-11	-1.14908083048704e-14	-3.47537554290511e-11	-0.000439426347409289	-0.000352442252851581	-0.000213329430832132	0.200233930445908	-1.84006361011457e-05	-6.26549678806043e-09	-6.26549667703813e-09	-0.000257956401715942	-0.000257955966413037	5.55111512312578e-17	-5.55111512312578e-17	-5.55111512312578e-17	-2.11200843308612e-06	-2.11200843314163e-06	-2.11200843314163e-06	0.0477528102818712	0.00216566448226291	0.00216566448226291	0	-5.55111512312578e-17	0.00021070141887386	0.000210701418873915	0.00181736596034171	0	5.55111512312578e-17	0	-5.55111512312578e-17	0	-5.55111512312578e-17	0.000409417165689985	0.000409417165689763	0	-5.55111512312578e-17	0	-5.55111512312578e-17	-0.0126012034012144	-0.0231415335421514	-0.000135350014954683	1.11022302462516e-16	-8.7103102508479e-11	-2.11200843303061e-06	1.11022302462516e-16	-0.224058309383081	-3.77697872977478e-13	1.75685022085759e-10	0.00181736595992493
IL10_mrna	-0.000599194598485009	-5.21058751701275e-11	-0.531111031089183	0.000105988180875038	-0.000742027903448017	0.0811154542597127	-3.56646552468476e-06	-3.31213354620719e-06	-0.0212735078104368	-0.53254112634316	-1.08885499687794e-05	-6.37601083042227e-13	-0.000599194598484898	-8.57298303014176e-06	-8.57298303014176e-06	-2.0164291569813e-08	-2.0164291569813e-08	1.11022302462516e-16	0.312106795722924	-0.0756462433722421	-0.000228558906093523	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	2.9667268641731e-10	2.22044604925031e-16	1.11022302462516e-16	-8.81838330351048e-05	-8.81838330353268e-05	1.11022302462516e-16	2.22044604925031e-16	-8.81838330349938e-05	-8.81838330349938e-05	-0.000295440468487063	-1.11674498676217e-05	0	0	-0.000320582221281618	-0.000320582221281729	-4.44315644124726e-05	2.22044604925031e-16	0	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-5.21062082370349e-11	-9.83509982632746e-06	-0.000324814242658622	-0.000324814242658289	-9.83509982621644e-06	-1.26788469636541e-05	0	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0	0	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-1.47087342305952e-10	-0.0713501807312371	-0.531111036419015	-0.0713501807312367	0.226192374473559	-0.357636944585376	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	-0.000485521923583532	-0.000485521924615484	1.81707524582464e-08	0.405416284429916	0.405416284429785	1.11022302462516e-16	0.000105988180875038	0.000105988180875038	-8.98722393172235e-08	-8.98722393172235e-08	0	-1.08885499687794e-05	-1.08885499685574e-05	-5.86874993047104e-11	-5.86873882824079e-11	-5.86876103270129e-11	-1.93178806284777e-14	-5.8687166237803e-11	-0.000742027903447906	-0.000595146285571446	-0.000360237683039499	0.361195705185676	-3.10724077063895e-05	-1.05802988592529e-08	-1.05802986372083e-08	-0.000435595935058597	-0.000435595262174626	1.11022302462516e-16	0	0	-3.56646552468476e-06	-3.56646552468476e-06	-3.56646552468476e-06	0.0811154542605675	0.00365745317564292	0.00365745317564292	2.22044604925031e-16	0	0.000355806566871619	0.000355806566871841	0.00306917912156723	0	1.11022302462516e-16	2.22044604925031e-16	0	2.22044604925031e-16	0	0.000691379429965444	0.000691379429965444	2.22044604925031e-16	0	2.22044604925031e-16	0	-0.0212735078117473	-0.0390773930024886	-0.000228558906093634	1.11022302462516e-16	-1.47087564350556e-10	-3.56646552457374e-06	1.11022302462516e-16	-0.0219081971412523	-6.3771210534469e-13	2.96672575395007e-10	0.00306917912114146
