Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.441618607719464	-0.391618522868559	-0.000161223511887187	-0.000260280149807668	-0.00236216146514079	8.07017626867079e-05	-0.00202724831357493	-0.00202721596398625	0.0791770281319428	0.0189887387499781	-0.0307658147036131	-0.0304821259725949	-0.0524375199236685	-0.0466828989815283	-0.0980514364092159	-0.0111420957223736	-0.0111420957223285	-0.0081741208759476	0.0428135738973	-0.15938724752087	-0.391618607719464	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	0.0010155853166075	2.22044604925031e-16	1.11022302462516e-16	0.0175721491349392	0.0175721491349391	1.66533453693773e-16	1.66533453693773e-16	0.0175721491390156	0.017572149121631	0.0700127931921987	-0.00343065930313474	0	0	-0.0595252138363255	-0.0595252136991972	1.96168811785191e-05	1.66533453693773e-16	2.77555756156289e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	-0.391618522868559	0.0210322600843305	-2.86550908557004e-08	-2.86550904671223e-08	0.0210322907365366	0.0369436986922054	5.55111512312578e-17	4.44089209850063e-16	4.44089209850063e-16	4.44089209850063e-16	-0.00587161060711128	-0.00587161060711133	-0.00587161060711133	-0.00587161060711128	-0.0058716106071125	-0.00609329767263017	-3.78954406561327e-05	0.00138181427324441	-0.000161223511887409	0.00138181427324446	2.0514308202435e-05	0.0258466237681036	4.44089209850063e-16	4.44089209850063e-16	4.44089209850063e-16	0.0742360701917074	0.0742360701917076	0.00204203600117542	0.0781968333066469	0.0781968333066457	1.66533453693773e-16	-0.000260280149807501	-0.00026028014980739	-3.19608755822154e-06	-3.19608755827705e-06	2.77555756156289e-16	-0.0307658147036131	-0.0307658147036336	-0.391618522868607	-0.391618522868607	-0.391618522868607	-0.091796568836774	-0.391618522868607	-0.00236216146514062	-0.00673061258182883	-0.00168854357026854	1.39699691202311e-05	-0.391106672033283	-0.162123952486526	-0.162123958224396	0.0833315020867936	0.0833315020867936	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	-0.00202724940614929	-0.00202724940613197	-0.00202724940614929	8.07017627099116e-05	6.45265859422484e-05	6.45265859424704e-05	3.33066907387547e-16	1.66533453693773e-16	3.48638614089403e-08	3.48638614089403e-08	2.69264684896742e-05	3.33066907387547e-16	5.55111512312578e-17	3.33066907387547e-16	1.66533453693773e-16	3.33066907387547e-16	1.66533453693773e-16	1.68419556079158e-10	1.68419334034553e-10	3.33066907387547e-16	1.66533453693773e-16	3.33066907387547e-16	1.66533453693773e-16	0.0791770281319426	0.0247428710150349	-0.391618607719464	-0.006093297672633	-3.78954406523024e-05	-0.00202724940617016	3.88578058618805e-16	0.0189887387136253	-0.0304821259725953	0.00101558531653184	2.69264684897852e-05
IL1	-0.0122057352906857	-0.713383031723498	0.000227620818391783	-8.98498489698696e-05	-1.38486617308198e-05	1.84735117297885e-05	-2.507520420858e-06	-2.50691190739616e-06	0.0365210397610738	0.00451242892819637	-0.000849286805772231	-0.000841171459760703	-0.0122057352906857	-0.0121464560040754	-0.0133830317234976	-0.000233629934958346	-0.000233629934983992	-0.000218774056266247	-0.000227685088511453	-0.00711607092752486	-0.0121843866383795	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	-4.48878903713812e-07	1.11022302462516e-16	0	0.0078173477710729	0.00781734777107279	1.11022302462516e-16	1.11022302462516e-16	0.00781734777155818	0.00781734777011944	0.0585065670244256	-0.00841335302542912	0	0	0.00748567389930077	0.00748567398215494	4.2048131100314e-06	0	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	2.22044604925031e-16	-0.0133830317234976	-0.00946196352263773	2.03792394071201e-09	2.03792416275661e-09	-0.00946194010357304	-0.0133830317234976	1.11022302462516e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	-0.0133830317234976	-0.0133830317234976	-0.0133830317234976	-0.0133830317234976	-0.0133830317234976	-0.0133830317234976	0.000244363558326355	0.000470623777710566	0.000227620818391894	0.000470623777710677	3.09236086271092e-06	0.0128517351271062	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.112002679542676	0.112002679542676	-1.3851790841013e-06	0.0307536042765763	0.0307536042765758	1.11022302462516e-16	-8.98498489697586e-05	-8.98498489698696e-05	-2.29206945756566e-07	-2.29206945645544e-07	1.11022302462516e-16	-0.000849286805772231	-0.000849286805769345	-0.0133830317234976	-0.0133830317234976	-0.0133830317234976	-0.0133825429198419	-0.0133830317234976	-1.38486617305977e-05	-0.000969068556084474	8.84898842102855e-05	-5.66704180915423e-07	-0.00485759700108412	-0.00416109623495198	-0.00416109620695104	0.130062337407854	0.130062337407854	2.22044604925031e-16	1.11022302462516e-16	1.11022302462516e-16	-2.50751481800648e-06	-2.50751482122613e-06	-2.50751481800648e-06	1.84735117313428e-05	1.60309607650788e-05	1.60309607650788e-05	2.22044604925031e-16	1.11022302462516e-16	4.75453598713926e-09	4.75453587611696e-09	6.31894135860733e-06	2.22044604925031e-16	0	2.22044604925031e-16	1.11022302462516e-16	2.22044604925031e-16	1.11022302462516e-16	2.64633870372677e-11	2.64632760149652e-11	2.22044604925031e-16	1.11022302462516e-16	2.22044604925031e-16	1.11022302462516e-16	0.0365210397610735	0.0120490352847022	-0.0121843866383795	-0.0133830317234976	0.000244363558327687	-2.50751481556399e-06	2.22044604925031e-16	0.00451242892551351	-0.000841171459760814	-4.48878930692231e-07	6.31894135860733e-06
IL6	-0.0529866115208865	-0.127423924462183	-0.177424085352634	-0.000301865192635031	-0.00106357246845193	7.09807580225319e-05	-0.00090459120725106	-0.000904576423074371	0.135654452510315	0.0156893247663639	-0.0149221004011992	-0.0147970985853833	-0.0529866115208865	-0.0517991878047749	-0.0780668579833278	-0.00409855131600412	-0.00409855131613945	-0.00427001098412119	-0.00396434008941762	-0.0208466230300595	-0.0527811914478331	2.4980018054066e-16	2.4980018054066e-16	2.4980018054066e-16	2.4980018054066e-16	2.4980018054066e-16	-7.95755602276127e-05	2.22044604925031e-16	-8.32667268468867e-17	0.0265206479824653	0.0265206479824652	1.11022302462516e-16	1.11022302462516e-16	0.0265206479846812	0.0265206479766491	0.206330073942277	-0.00389571705886055	0	0	-0.00495180580085253	-0.00495180562262354	1.51493623257171e-05	5.55111512312578e-17	1.11022302462516e-16	1.94289029309402e-16	1.94289029309402e-16	1.94289029309402e-16	1.94289029309402e-16	-0.127423924462183	-0.00964237934174267	-7.82444753433253e-09	-7.8244471179989e-09	-0.00964234615745779	-0.022134693395791	8.32667268468867e-17	4.44089209850063e-16	4.44089209850063e-16	4.44089209850063e-16	-0.0481320031741499	-0.04813200317415	-0.04813200317415	-0.04813200317415	-0.0481320031741503	-0.00658498568708851	-0.127424085352634	0.00152847368462242	0.000576777146346769	0.00152847368462256	1.23444180304966e-05	0.0351026813032019	1.94289029309402e-16	1.94289029309402e-16	1.94289029309402e-16	0.238260984447646	0.238260984447647	-0.000161663685807889	0.121968766112994	0.121968766112993	1.66533453693773e-16	-0.000301865192634754	-0.000301865192634782	-1.07539362106945e-06	-1.07539362109721e-06	3.05311331771918e-16	-0.0149221004011993	-0.0149221004011876	-0.127423924462364	-0.127423924462364	-0.127423924462364	-0.0763895022170554	-0.127423924462364	-0.0010635724684519	-0.00390758916864034	-0.00066199555196253	4.41234714176897e-06	-0.115164277357128	-0.0197611705018132	-0.01976116787069	0.297998609785048	0.297998609785048	1.94289029309402e-16	1.11022302462516e-16	1.11022302462516e-16	-0.000904591747098588	-0.000904591747100003	-0.000904591747098615	7.09807580324406e-05	6.12388586607726e-05	6.12388586610224e-05	1.94289029309402e-16	2.77555756156289e-17	8.17590531387857e-09	8.17590531387857e-09	2.42333685472884e-05	1.94289029309402e-16	1.38777878078145e-16	1.94289029309402e-16	2.77555756156289e-17	1.94289029309402e-16	2.77555756156289e-17	6.1788962835152e-11	6.17886852793958e-11	1.94289029309402e-16	2.77555756156289e-17	1.94289029309402e-16	2.77555756156289e-17	0.135654452510314	0.0331794292745494	-0.0527811914478327	-0.00658498568708873	-0.127424085352634	-0.000904591747096423	2.77555756156289e-16	0.015689324752931	-0.0147970985853835	-7.95755603220927e-05	2.42333685471496e-05
LPS	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	-0.0119167651252216	-0.063063053892658	-0.000145494393210946	-2.41209200501219e-05	-0.113069863169381	-1.09460004271561e-05	-0.0630698583871991	-0.0630677419155545	0.102161868338803	0.00895795697924509	-0.00876573444975125	-0.00868350690380601	-0.0119167651252216	-0.00944178728108949	-0.0222990267348809	-0.00301628611377285	-0.00301628611379236	-0.00228614174258668	0.00973183835676711	-0.0424102387842404	-0.0118197538290348	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	0.00024019513332682	4.16333634234434e-17	0	0.0122175775643825	0.0122175775643824	5.55111512312578e-17	4.16333634234434e-17	0.0122175775657126	0.0122175775608214	0.117232990100618	-0.000319398855038788	-2.77555756156289e-17	-2.77555756156289e-17	-0.011569519237479	-0.0115695191756663	8.37553283436487e-06	0	2.77555756156289e-17	1.38777878078145e-17	1.38777878078145e-17	1.38777878078145e-17	2.77555756156289e-17	-0.063063053892658	0.0207331255300762	-4.0209981178041e-10	-4.02099700758107e-10	0.0207331327846282	0.0422350612032235	6.93889390390723e-17	4.16333634234434e-17	4.16333634234434e-17	4.16333634234434e-17	-0.000695690430142504	-0.00069569043014249	-0.000695690430142448	-0.000695690430142448	-0.000695690430142865	-0.000774321093018629	-9.00916200906599e-05	0.000542928859494501	-0.000145494393211043	0.000542928859494543	9.14431454679399e-06	0.01131221775596	8.32667268468867e-17	8.32667268468867e-17	8.32667268468867e-17	0.155918602735335	0.155918602735335	0.000482273177503906	0.0943873149500859	0.094387314950085	1.38777878078145e-17	-2.41209200500664e-05	-2.41209200499692e-05	-3.2066553951049e-07	-3.20665539593756e-07	1.38777878078145e-17	-0.00876573444975126	-0.00876573444977609	-0.0630630538926597	-0.0630630538926597	-0.0630630538926597	-0.0206985055623457	-0.0630630538926597	-0.000719004289594524	-0.00291572225573575	-0.000420929787438393	4.82349307305563e-06	-0.0630661282223476	-0.0464355625331322	-0.0464355596107896	-0.0021766321434476	-0.00217663214344757	2.77555756156289e-17	4.16333634234434e-17	4.16333634234434e-17	-0.0630698631693814	-0.0630698631693814	-0.0630698631693814	-1.09460004340256e-05	-1.81610562929174e-05	-1.81610562929313e-05	0	6.93889390390723e-17	8.00586436033868e-09	8.00586440197204e-09	-4.80987991305359e-06	0	2.77555756156289e-17	0	6.93889390390723e-17	0	6.93889390390723e-17	2.27427937593561e-11	2.27426133481146e-11	0	6.93889390390723e-17	0	6.93889390390723e-17	0.102161868338803	0.0107521961572715	-0.0118197538290347	-0.000774321093019933	-9.00916200891472e-05	-0.0630698631693814	4.16333634234434e-17	0.00895795696745441	-0.00868350690380612	0.000240195133277513	-4.80987991292869e-06
IL4	-0	-0	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-0.0456979436364142	-0.401692878112672	-0.00014074663716207	-0.000225557700808066	-0.00206190291021024	7.0452819211142e-05	-0.451698238262537	-0.401698238262537	0.0695735008408109	0.0165964797456422	-0.0268235799979709	-0.0265764683098084	-0.0456979436364141	-0.0406861369539313	-0.0854910248716074	-0.00972160764887403	-0.00972160764891328	-0.00713300806098394	0.0374882738690076	-0.139572230744613	-0.0454025447782644	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000886653633279555	2.22044604925031e-16	5.55111512312578e-17	0.015356880373093	0.0153568803730927	1.11022302462516e-16	1.11022302462516e-16	0.0153568803757842	0.0153568803631797	0.0614612563900971	-0.00299441539449447	-5.55111512312578e-17	-5.55111512312578e-17	-0.0518717949775019	-0.0518717947671778	1.71255242351065e-05	5.55111512312578e-17	1.66533453693773e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.66533453693773e-16	-0.401692878112672	0.0183851496285601	-2.50158486148067e-08	-2.50158482817397e-08	0.0183851774082054	0.0323327627028901	1.11022302462516e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	-0.00512433902716791	-0.00512433902716786	-0.00512433902716786	-0.00512433902716786	-0.00512433902716841	-0.00531775363662595	-3.30825911478705e-05	0.00120641310312047	-0.000140746637162181	0.00120641310312053	1.79089783041153e-05	0.0226013598243771	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.0651973578512602	0.0651973578512604	0.00178289479201865	0.0687049049070453	0.0687049049070449	1.66533453693773e-16	-0.000225557700807844	-0.000225557700807844	-1.13225169279252e-06	-1.13225169284803e-06	1.66533453693773e-16	-0.0268235799979709	-0.0268235799979591	-0.401692878115062	-0.401692878115062	-0.401692878115062	-0.0800221334882442	-0.401692878115062	-0.00206190291021002	-0.00587376722377408	-0.00147396220385471	1.21957700171538e-05	-0.398613584535179	-0.142012734552844	-0.142012741066795	0.073257496311633	0.0732574963116331	1.66533453693773e-16	1.11022302462516e-16	1.11022302462516e-16	-0.00176959333170168	-0.00176959333169319	-0.00176959333170168	7.04528192231879e-05	5.63318041932326e-05	5.63318041933991e-05	1.66533453693773e-16	1.11022302462516e-16	3.04360954217486e-08	3.04360955327709e-08	2.35067984400983e-05	1.66533453693773e-16	5.55111512312578e-17	1.66533453693773e-16	1.11022302462516e-16	1.66533453693773e-16	1.11022302462516e-16	1.47029943775578e-10	1.47029610708671e-10	1.66533453693773e-16	1.11022302462516e-16	1.66533453693773e-16	1.11022302462516e-16	0.069573500840811	0.0216344529264418	-0.0454025447782639	-0.00531775363662718	-3.30825911447064e-05	-0.00176959333170928	2.77555756156289e-16	0.016596479721433	-0.0265764683098088	0.0008866536332095	2.35067984402093e-05
IL12_mrna	-0.0975863232743789	-0.829320153521947	-0.000309696314335861	-0.000496283822392307	-0.00453094387589603	0.00015504580996295	-0.00388938917718762	-0.829525641872175	0.161314414428584	0.0369534399592045	-0.0579726277046437	-0.0574478010544063	-0.0975863232743787	-0.087156390755058	-0.178331980003625	-0.0212511023877454	-0.0212511023878558	-0.0156200013299759	0.0847674527693024	-0.283186101241559	-0.0969733054935118	4.44089209850063e-16	4.44089209850063e-16	4.44089209850063e-16	4.44089209850063e-16	4.44089209850063e-16	0.00195236908663265	5.55111512312578e-16	0	0.0341628738035034	0.0341628738035031	3.33066907387547e-16	3.33066907387547e-16	0.034162873809013	0.0341628737837338	0.141580862973973	-0.0065758684145758	-1.11022302462516e-16	-1.11022302462516e-16	-0.110349792393188	-0.110349791803095	3.76868169812417e-05	2.22044604925031e-16	4.44089209850063e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16	2.22044604925031e-16	-0.829320153521947	0.0409889888688726	-5.50497883944345e-08	-5.50497876172784e-08	0.0409890470981413	0.0728275144518674	2.22044604925031e-16	7.7715611723761e-16	7.7715611723761e-16	7.7715611723761e-16	-0.011236809450736	-0.011236809450736	-0.0112368094507359	-0.0112368094507357	-0.0112368094507369	-0.0116593888233196	-7.27997637138822e-05	0.00265705519250536	-0.000309696314336083	0.00265705519250548	3.94109252001007e-05	0.0505435741279354	6.66133814775094e-16	6.66133814775094e-16	6.66133814775094e-16	0.150635957591685	0.150635957591685	0.00392829951727169	0.159188655249538	0.159188655249537	3.33066907387547e-16	-0.000496283822391863	-0.000496283822391974	-2.49162718002349e-06	-2.49162717991247e-06	4.44089209850063e-16	-0.0579726277046438	-0.0579726277046303	-0.829320153587383	-0.829320153587383	-0.829320153587383	-0.16743756845474	-0.829320153587383	-0.0045309438758957	-0.0128735669691626	-0.00324028560780609	2.6838196238943e-05	-0.81024942154201	-0.287811492856476	-0.287811501634835	0.170365261893127	0.170365261893127	2.22044604925031e-16	3.33066907387547e-16	3.33066907387547e-16	-0.0038893914242365	-0.00388939142421951	-0.00388939142423661	0.000155045809987819	0.000123968418914044	0.000123968418914377	4.44089209850063e-16	1.11022302462516e-16	6.69775671591211e-08	6.69775673811657e-08	5.17298227951102e-05	4.44089209850063e-16	1.11022302462516e-16	4.44089209850063e-16	1.11022302462516e-16	4.44089209850063e-16	1.11022302462516e-16	3.23553628334139e-10	3.23553073222627e-10	4.44089209850063e-16	1.11022302462516e-16	4.44089209850063e-16	1.11022302462516e-16	0.161314414428584	0.0483471463122243	-0.0969733054935109	-0.0116593888233222	-7.27997637069988e-05	-0.00388939142425093	6.66133814775094e-16	0.0369534399114047	-0.0574478010544069	0.00195236908648322	5.17298227952212e-05
IL10	-0.00503652333725557	-0.100972621858427	-6.97623170448081e-05	-2.70695271700205e-05	-0.000133911949929066	6.63033984960038e-06	-0.000117171923369686	-0.000117170203479344	-0.844524309775347	-0.144524309775347	-0.00151975032427476	-0.00150610269623264	-0.00503652333725546	-0.00496345583013535	-0.0107677163368521	-0.000688112928547646	-0.000688112928531548	-0.000412256944192668	0.00337947771969482	-0.0160006219687003	-0.00500845668688976	0	0	0	0	0	9.49314933554879e-05	0	0	-0.000109766217445961	-0.000109766217445961	0	1.11022302462516e-16	-0.000109766217381568	-0.000109766217555651	0.001647251581819	-0.00363471742241728	-1.11022302462516e-16	-1.11022302462516e-16	-0.00478359993855182	-0.00478359990385047	-0.000182650317978927	0	0	0	0	0	0	-0.100972621858427	-0.00205615635083756	-3.15935044792326e-09	-3.15935044792326e-09	-0.00205615623750544	-0.0040174103059466	0	0	0	0	-0.00142667997325174	-0.00142667997325185	-0.00142667997325185	-0.00142667997325197	-0.00142667997325197	-0.000608184700110259	-6.6446279260779e-05	-3.62513901539518e-05	-6.97623170449191e-05	-3.62513901537298e-05	4.49533842372674e-07	-0.000458176924739817	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.00536122186373156	0.00536122186373156	0.000190198441743172	0.00344299886989052	0.00344299886989086	0	-2.70695271699095e-05	-2.70695271700205e-05	-8.33175398673447e-08	-8.33175397563224e-08	-1.11022302462516e-16	-0.00151975032427454	-0.0015197503242772	-0.100972621866266	-0.100972621866266	-0.100972621866266	-0.0100722723372386	-0.100972621866266	-0.000133911949929066	-0.000146363503058966	-0.000119109816096308	9.30329599801993e-07	-0.0173215238866263	-0.000807669157183444	-0.000807668897815583	0.00547463091008171	0.00547463091008171	0	1.11022302462516e-16	1.11022302462516e-16	-0.000117171996716792	-0.000117171996716015	-0.000117171996716792	6.63033985115469e-06	6.27716818635271e-06	6.27716818646373e-06	0	0	3.43189265894495e-09	3.43189265894495e-09	2.33375704350447e-06	0	0	0	0	0	0	1.65434332899395e-11	1.65434332899395e-11	0	0	0	0	0.00353254808427528	-0.000445337377200317	-0.00500845668688976	-0.000608184700110592	-6.64462792606679e-05	-0.00011717199671768	0	-0.144524309775347	-0.00150610269623264	9.49314933444967e-05	2.33375704339345e-06
IL10_mrna	-0.0333983146508451	-0.577379580533698	-0.000468670924599679	-0.000181876816128579	-0.000899481042915706	4.45524501896388e-05	-0.000787074129517173	-0.000787062644508008	0.023964874641781	-0.962652417671776	-0.0101705863863111	-0.0100796161999175	-0.0333983146508452	-0.0329199700369122	-0.0703827960422602	-0.00461520395405712	-0.00461520395402115	-0.00276705710795844	0.0229168058888385	-0.103281806048827	-0.033214594144921	0	0	0	0	0	0.000638041160713976	0	0	-0.00073734271184478	-0.00073734271184478	0	1.11022302462516e-16	-0.0007373427113333	-0.00073734271272119	0.011117655781731	-0.0241900938434854	0	0	-0.0317417675287511	-0.0317417671310889	-0.00122669497469785	-1.11022302462516e-16	1.11022302462516e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	-0.577379580533698	-0.0137409149318362	-2.12288230327928e-08	-2.12288226997259e-08	-0.0137409139075315	-0.0267104907737936	1.11022302462516e-16	0	0	0	-0.00955008311808869	-0.00955008311808847	-0.00955008311808858	-0.00955008311808869	-0.00955008311808869	-0.00407998924475317	-0.000446397373695229	-0.000243562643328921	-0.000468670924599568	-0.000243562643328699	3.02058470114108e-06	-0.00307489444814424	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.0365551685927936	0.0365551685927936	0.00127866297403068	0.0233516256601518	0.0233516256601517	1.11022302462516e-16	-0.000181876816128468	-0.000181876816128468	-5.59840670932843e-07	-5.59840670710798e-07	2.22044604925031e-16	-0.010170586386311	-0.0101705863863066	-0.577379580577507	-0.577379580577507	-0.577379580577507	-0.0659497940450435	-0.577379580577507	-0.000899481042915817	-0.000983084916221455	-0.000800087355346979	6.25123784825377e-06	-0.111463694945908	-0.00541535153874384	-0.00541534964067669	0.037340246813232	0.037340246813232	2.22044604925031e-16	1.11022302462516e-16	1.11022302462516e-16	-0.000787074662284115	-0.00078707466228356	-0.000787074662283671	4.45524501929695e-05	4.2179279665544e-05	4.2179279665655e-05	0	0	2.3060132248176e-08	2.3060132581243e-08	1.56814586027565e-05	0	0	0	0	0	0	1.11160303184477e-10	1.11160192162174e-10	0	0	0	0	0.023964874641781	-0.00298882855414062	-0.0332145941449211	-0.00407998924475372	-0.000446397373693896	-0.000787074662284226	0	0.00146571442669508	-0.0100796161999178	0.000638041160666791	1.56814586026455e-05
